family_code;tax_code;prefix;volume_liter;waste_code;interval;variant;source;confidence;notes
MA;MAT;;;MA;;T;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
ME;METALLFÖRPFA;;;ME;;TALLFÖRPFA;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
ME;METALLSKROTREN;;;ME;;TALLSKROTREN;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
RE;REGLRESTBELOPP;;;RE;;GLRESTBELOPP;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
RE;REGLTILLGODO;;;RE;;GLTILLGODO;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
RE;RENGÖRINGBIL;;;RE;;NGÖRINGBIL;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
RE;RENH0;;;RE;;;STANDARD+RULES;0.2;Okänd suffix: NH0 | Kunde inte identifiera prefix.
RE;REST;;;RE;;ST;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
RE;ReAvfallSum;;;RE;;AVFALLSUM;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
SA;SANNAN;SA;;;;NNAN;STANDARD+RULES;0.5;
SL;SLBEHAVG;SL;;;;BEHAVG;STANDARD+RULES;0.5;
SL;SLBOM;SL;;;;BOM;STANDARD+RULES;0.5;
SL;SLBUD;SL;;;;BUD;STANDARD+RULES;0.5;
SL;SLBUD7DGR;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: BUD7DGR
SL;SLBUDFOS;SL;;;;BUDFOS;STANDARD+RULES;0.5;
SL;SLFRAMKÖR;SL;;;;FRAMKÖR;STANDARD+RULES;0.5;
SL;SLKBM3;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: KBM3
SL;SLKBM9;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: KBM9
SL;SLSAMTIDA;SL;;;;SAMTIDA;STANDARD+RULES;0.5;
SL;SLSLANG;SL;;;;SLANG;STANDARD+RULES;0.5;
SL;SLSPECTID;SL;;;;SPECTID;STANDARD+RULES;0.5;
SL;SLSTATISTIK;SL;;;;STATISTIK;STANDARD+RULES;0.5;
SL;SLT03SL;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T03SL
SL;SLT03SLB;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T03SLB
SL;SLT03SLBUD;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T03SLBUD
SL;SLT03SLO;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T03SLO
SL;SLT03SLORD;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T03SLORD
SL;SLT36SL;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T36SL
SL;SLT36SLB;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T36SLB
SL;SLT36SLBUD;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T36SLBUD
SL;SLT36SLO;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T36SLO
SL;SLT36SLORD;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T36SLORD
SL;SLT69SL;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T69SL
SL;SLT69SLBUD;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T69SLBUD
SL;SLT69SLORD;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: T69SLORD
SL;SLTOAVAGN;SL;;;;TOAVAGN;STANDARD+RULES;0.5;
SL;SLTUNGTL;SL;;;;TUNGTL;STANDARD+RULES;0.5;
SL;SLTUNGTLOCK;SL;;;;TUNGTLOCK;STANDARD+RULES;0.5;
SL;SLTÖ6SL;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: TÖ6SL
SL;SLTÖ6SLB;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: TÖ6SLB
SL;SLTÖ6SLBUD;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: TÖ6SLBUD
SL;SLTÖ6SLO;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: TÖ6SLO
SL;SLTÖ6SLORD;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: TÖ6SLORD
SL;SLTÖ9SLBUD;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: TÖ9SLBUD
SL;SLTÖ9SLORD;SL;;;;;STANDARD+RULES;0.4;Okänd suffix: TÖ9SLORD
SL;SLÖVERKBM;SL;;;;ÖVERKBM;STANDARD+RULES;0.5;
SLA;SLAKUT;SLA;;;;KUT;STANDARD+RULES;0.5;
SLA;SLAKUT48TIM;SLA;;;;;STANDARD+RULES;0.4;Okänd suffix: KUT48TIM
SLA;SLAMKOMP;SLA;;;;MKOMP;STANDARD+RULES;0.5;
SLME;SLMEDDELANDE;SL;;ME;;DDELANDE;STANDARD+RULES;0.7000000000000002;
SÄ140MA;SÄ140MABUD;SÄ;140;MA;;BUD;STANDARD+RULES;0.9000000000000001;
SÄ160;SÄ160OS104;SÄ;160;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS104
SÄ160;SÄ160OS11S;SÄ;160;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS11S
SÄ160;SÄ160OS13;SÄ;160;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS13
SÄ160;SÄ160OS156;SÄ;160;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS156
SÄ160;SÄ160OS22S;SÄ;160;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS22S
SÄ160;SÄ160OS26;SÄ;160;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS26
SÄ160;SÄ160OS44S;SÄ;160;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS44S
SÄ160;SÄ160OS52;SÄ;160;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS52
SÄ160;SÄ160OS6S;SÄ;160;;;;STANDARD+RULES;0.6000000000000001;Okänd suffix: OS6S
SÄ160RE;SÄ160REBUD;SÄ;160;RE;;BUD;STANDARD+RULES;0.9000000000000001;
SÄTR;SÄTRBUD;SÄ;;TR;;BUD;STANDARD+RULES;0.7000000000000002;
TI;TINTAGCO;;;TI;;NTAGCO;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
TI;TINTAGKÄ;;;TI;;NTAGKÄ;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
TR;TRBUD;;;TR;;BUD;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
TR;TRÄDGÅRD;;;TR;;ÄDGÅRD;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
TR;TRÄDGÅRDKOMP;;;TR;;ÄDGÅRDKOMP;STANDARD+RULES;0.3;Kunde inte identifiera prefix.
