tax_code;family_code;variant_key;volume_liter;waste_code;interval;variant;usage_type;source;source_text
H120;;120;120;;;;;RULE:Taxa_från_edp:75;120 L KÄRL 14-DAG. HÄMTN. Okänd Behållarvolym ÅRKV H120 | 120 L KÄRL 14-DAG. HÄMTN. | ÅRKV | 14-dagars hämtning 120 l kärl | ANTB
H120;;120;120;;;;;RULE:Taxa_från_edp:76;120 L KÄRL 14-DAG. HÄMTN. Okänd Behållarvolym ÅRPR H120 | 120 L KÄRL 14-DAG. HÄMTN. | ÅRPR | Grundavgift | 
HU120;;120;120;;;;;RULE:Taxa_från_edp:93;120 L KÄRL UTAN GRUNDAVGIFT Okänd Behållarvolym ÅRKV HU120 | 120 L KÄRL UTAN GRUNDAVGIFT | ÅRKV | Sophämtning 120 l kärl | ANTB
HF120;;120|FRITID;120;;;;FRITID;RULE:Taxa_från_edp:86;120 L KÄRL FRITIDSHUS Okänd Behållarvolym ÅRKV HF120 | 120 L KÄRL FRITIDSHUS | ÅRKV | 14-dagars hämtning 120 l kärl | ANTB
HF120;;120|FRITID;120;;;;FRITID;RULE:Taxa_från_edp:87;120 L KÄRL FRITIDSHUS Okänd Behållarvolym ÅRPR HF120 | 120 L KÄRL FRITIDSHUS | ÅRPR | Grundavgift | 
HUF120;;120|FRITID;120;;;;FRITID;RULE:Taxa_från_edp:97;120 L KÄRL FRITIDSHUS UTAN GRUNDAVG. Okänd Behållarvolym ÅRKV HUF120 | 120 L KÄRL FRITIDSHUS UTAN GRUNDAVG. | ÅRKV | Sophämtning 120 lit kärl | ANTB
FPASÄCK125;;125|PA;125;PA;;;;STANDARD:Standard Avfall:289;Försäljning pappersäck, 125 L KVAN ANTL
HKÄ140;;140;140;;;;;STANDARD:Standard Avfall:451;Hyra kärl, 140 liter ÅRKV ANTB
EVEKÄ140MA;;140|MA;140;MA;;;;RULE:Taxa_från_edp:44;Evenemangskärl 140 L, matavfall Okänd Matavfall Behållarvolym KVAN EVEKÄ140MA | Evenemangskärl 140 L, matavfall | KVAN | Evenemangskärl 140 L, matavfall | ANTL
FPASÄCK160;;160|PA;160;PA;;;;STANDARD:Standard Avfall:290;Försäljning pappersäck, 160 L KVAN ANTL
DE190;;190;190;;;;;RULE:Taxa_från_edp:42;190 L KÄRL DELAT Okänd Behållarvolym ÅRKV DE190 | 190 L KÄRL DELAT | ÅRKV | Sophämtning delat 190 l kärl | ANTB
H190;;190;190;;;;;RULE:Taxa_från_edp:77;190 L KÄRL 14-DAG. HÄMTN. Okänd Behållarvolym ÅRKV H190 | 190 L KÄRL 14-DAG. HÄMTN. | ÅRKV | 14-dagars hämtning 190 l kärl | ANTB
H190;;190;190;;;;;RULE:Taxa_från_edp:78;190 L KÄRL 14-DAG. HÄMTN. Okänd Behållarvolym ÅRPR H190 | 190 L KÄRL 14-DAG. HÄMTN. | ÅRPR | Grundavgift | 
H190TT;;190;190;;;;;RULE:Taxa_från_edp:79;190 L KÄRL tillf tjänst Okänd Behållarvolym KVAN H190TT | 190 L KÄRL tillf tjänst | KVAN | 190 L KÄRL tillf tjänst | ANTL
HF190T;;190;190;;;;;RULE:Taxa_från_edp:90;190 L KÄRL tillf tjänst Okänd Behållarvolym KVAN HF190T | 190 L KÄRL tillf tjänst | KVAN | 190 L KÄRL tillf tjänst | ANTL
HKÄ190;;190;190;;;;;STANDARD:Standard Avfall:452;Hyra kärl, 190 liter ÅRKV ANTB
HU190;;190;190;;;;;RULE:Taxa_från_edp:94;190 L KÄRL UTAN GRUNDAVGIFT Okänd Behållarvolym ÅRKV HU190 | 190 L KÄRL UTAN GRUNDAVGIFT | ÅRKV | Sophämtning 190 l kärl | ANTB
HF190;;190|FRITID;190;;;;FRITID;RULE:Taxa_från_edp:88;190 L KÄRL FRITIDSHUS Okänd Behållarvolym ÅRKV HF190 | 190 L KÄRL FRITIDSHUS | ÅRKV | 14-dagars hämtning 190 l kärl | ANTB
