Tax Decision Report

Priority:
1. Bekräftad kommun-EDP / Taxa_från_edp
2. Word-taxa
3. Standardtaxor endast som förslag
4. Manuell granskning

Total: 241
EDP_MATCH: 0
STANDARD_PROPOSAL: 0
REVIEW_REQUIRED: 113
NEW_TAXA: 128

Details:
- REVIEW_REQUIRED | 2.4.1 | Fakturavgift | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.36 justerad=0.41. Matchar category: Hushåll, service_type: Abonnemang, property_type: Flerbostadshus. Skillnader waste_type: Word='' kandidat='Restavfall'
- REVIEW_REQUIRED | 2.4.2 | Delat kärl 240 l matavfall 40 kg | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.41 justerad=0.46. Matchar category: Hushåll, service_type: Byte, container_type: Kärl. Skillnader waste_type: Word='Träavfall' kandidat='', container_volume_liter: Word='' kandidat='240', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Behållarvolym'
- REVIEW_REQUIRED | 2.4.2 | Delat kärl 240 l restavfall 40 kg | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.62 justerad=0.67. Matchar category: Hushåll, service_type: Byte, container_type: Kärl, container_volume_liter: 240, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.4.2 | Extra kärl 140 l matavfall 60 kg | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.62 justerad=0.67. Matchar category: Hushåll, service_type: Byte, container_type: Kärl, container_volume_liter: 660, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.4.2 | Extra kärl 140-190 l restavfall 60 kg | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.41 justerad=0.46. Matchar category: Hushåll, service_type: Byte, container_type: Kärl. Skillnader container_volume_liter: Word='' kandidat='240', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Behållarvolym', factor_hint: Word='' kandidat='VOLYM/BEHÅLLARE'
- NEW_TAXA | 2.4.2 | Kärl 370 l restavfall 60 kg | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.40 justerad=0.45. Matchar category: Hushåll, container_type: Kärl. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_volume_liter: Word='' kandidat='240', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.4.2 | Kärl 660 l restavfall 100 kg | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.36 justerad=0.41. Matchar category: Hushåll, service_type: Abonnemang, property_type: Flerbostadshus. Skillnader waste_type: Word='' kandidat='Restavfall'
- REVIEW_REQUIRED | 2.4.3 | Överfullt kärl | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.60 justerad=0.66. Matchar category: Hushåll, container_type: Kärl, container_volume_liter: 660, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.4.3 | Överfull bottentömmande behållare | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.60 justerad=0.66. Matchar category: Hushåll, container_type: Kärl, container_volume_liter: 660, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.4.4 | Byte av trasigt kärl vid oaktsamhet | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.60 justerad=0.66. Matchar category: Hushåll, container_type: Kärl, container_volume_liter: 660, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.4.5 | Byte/återtag av kärl en (1) ggr/år 140–240 liter | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
- NEW_TAXA | 2.4.5 | Byte/återtag av kärl en (1) ggr/år 370–660 liter | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
- REVIEW_REQUIRED | 2.4.5 | Ytterligare byte av kärl under kalenderåret | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Matavfall, container_type: Kärl, container_volume_liter: 140, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.4.6 | Kärl | source=Taxepunkter rule=Semantisk kandidat finns men säkerheten räcker inte för förslag edp= standard= | Granska kandidat manuellt. Kandidat=RULE:TAXEPUNKT KÄ190XRM26 score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 190, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Extra', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.4.6 | Bottentömmande behållare | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 370, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.4.7 | Kärl 140-660 L 1,5-10 | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.79 justerad=0.83. Matchar category: Hushåll, waste_type: Restavfall, container_type: Kärl, container_volume_liter: 660, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.4.7 | Kärl 140-660 L 10-20 | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.36 justerad=0.41. Matchar category: Hushåll, service_type: Abonnemang, property_type: Flerbostadshus. Skillnader waste_type: Word='' kandidat='Restavfall'
- NEW_TAXA | 2.4.7 | Kärl 140-660 L 20-30 | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
- NEW_TAXA | 2.4.7 | Avfallsport/dörr | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
- NEW_TAXA | 2.4.7 | Låst dörr, med kod | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.40 justerad=0.45. Matchar category: Hushåll, service_type: Hämtning/tömning. Skillnader waste_type: Word='' kandidat='Restavfall', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240', property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.4.8 | Kärl 140 l matavfall | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.29 justerad=0.34. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='Säck' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
- NEW_TAXA | 2.4.8 | Kärl 190 l restavfall | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.29 justerad=0.34. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='Säck' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
- REVIEW_REQUIRED | 2.4.8 | Kärl 370 l restavfall | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.42 justerad=0.47. Matchar category: Hushåll, service_type: Abonnemang, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='370', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.4.8 | Kärl 660 l restavfall | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.52 justerad=0.57. Matchar category: Hushåll, service_type: Abonnemang, container_volume_liter: 22, unit_type: Behållarvolym, factor_hint: VOLYM/BEHÅLLARE. Skillnader property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.4.8 | Bottentömmande behållare | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.40 justerad=0.45. Matchar category: Hushåll, container_type: Kärl. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_volume_liter: Word='' kandidat='240', property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.4.9 | Sidlastande fordon | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ190XRM26 score=0.34 justerad=0.39. Matchar category: Hushåll, service_type: Extra. Skillnader waste_type: Word='Träavfall' kandidat='Restavfall', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='190', property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.4.9 | Bottentömmande fordon | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
- REVIEW_REQUIRED | 2.4.9 | Tömningsavgift per behållare | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.51 justerad=0.56. Matchar category: Hushåll, waste_type: Farligt avfall, service_type: Abonnemang. Skillnader property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Tillfälle', factor_hint: Word='' kandidat='TILLFÄLLE'
- REVIEW_REQUIRED | 2.4.10 | Betalsäck | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.51 justerad=0.56. Matchar category: Hushåll, waste_type: Farligt avfall, service_type: Abonnemang. Skillnader property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Tillfälle', factor_hint: Word='' kandidat='TILLFÄLLE'
- NEW_TAXA | 2.4.10 | Akutsäck | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT KÄ240RM26 score=0.32 justerad=0.37. Matchar category: Hushåll. Skillnader waste_type: Word='' kandidat='Restavfall', service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Kärl', container_volume_liter: Word='' kandidat='240'
- REVIEW_REQUIRED | 2.4.11 | Matavfallspåsar 9 L | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.42 justerad=0.47. Matchar category: Flerbostad/verksamhet, container_volume_liter: 3m3, unit_type: Volym, factor_hint: VOLM. Skillnader property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.4.11 | Matavfallspåsar 22 L | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.42 justerad=0.47. Matchar category: Flerbostad/verksamhet, container_volume_liter: 3m3, unit_type: Volym, factor_hint: VOLM. Skillnader property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.4.11 | Gravitationslås till kärl | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT BRNÖ6SLORD score=0.39 justerad=0.43. Matchar category: Flerbostad/verksamhet, container_volume_liter: 6m3, unit_type: Volym. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat='', factor_hint: Word='VOLM' kandidat='ÅRKV'
- REVIEW_REQUIRED | 2.4.11 | Extra nyckel till gravitationslås | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.42 justerad=0.47. Matchar category: Flerbostad/verksamhet, container_volume_liter: 9m3, unit_type: Volym, factor_hint: VOLM. Skillnader property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 2.5.1 | Kommunalt avfall | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT BDT03SLORD score=0.48 justerad=0.54. Matchar category: Flerbostad/verksamhet, container_type: Brunn, container_volume_liter: 3m3, unit_type: Volym. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat='', factor_hint: Word='VOLM' kandidat='ÅRKV'
- REVIEW_REQUIRED | 2.5.1 | Farligt avfall (ej uppmärkt) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.42 justerad=0.47. Matchar category: Flerbostad/verksamhet, container_volume_liter: 3m3, unit_type: Volym, factor_hint: VOLM. Skillnader property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.5.1 | Farligt avfall (uppmärkt) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.34 justerad=0.39. Matchar category: Flerbostad/verksamhet, service_type: Extra. Skillnader waste_type: Word='Träavfall' kandidat='', container_type: Word='' kandidat='Brunn', container_volume_liter: Word='' kandidat='5m3', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 2.5.1 | Avisering av ankomst | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.34 justerad=0.39. Matchar category: Flerbostad/verksamhet, service_type: Extra. Skillnader waste_type: Word='Träavfall' kandidat='', container_type: Word='' kandidat='Brunn', container_volume_liter: Word='' kandidat='5m3', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 3.1 | Upp till 3 m3 | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.34 justerad=0.39. Matchar category: Flerbostad/verksamhet, service_type: Extra. Skillnader waste_type: Word='Träavfall' kandidat='', container_type: Word='' kandidat='Brunn', container_volume_liter: Word='' kandidat='5m3', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 3.1 | Mellan 3 m3 och 6 m3 | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.34 justerad=0.39. Matchar category: Flerbostad/verksamhet, service_type: Extra. Skillnader waste_type: Word='Träavfall' kandidat='', container_type: Word='' kandidat='Brunn', container_volume_liter: Word='' kandidat='5m3', property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 3.1 | Mellan 6 m3 och 9 m3 | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT BDT03SLORD score=0.30 justerad=0.35. Matchar category: Flerbostad/verksamhet, container_type: Brunn. Skillnader service_type: Word='' kandidat='Hämtning/tömning', container_volume_liter: Word='' kandidat='3m3', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='Vikt' kandidat='Volym'
- NEW_TAXA | 3.1 | Tillägg per m3 över 9 m3 | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT BDT03SLORD score=0.34 justerad=0.39. Matchar category: Flerbostad/verksamhet, service_type: Hämtning/tömning. Skillnader container_type: Word='' kandidat='Brunn', container_volume_liter: Word='' kandidat='3m3', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Volym'
- NEW_TAXA | 3.1 | Bad-, disk- och tvättbrunn upp till 3 m3 | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT BDT03SLORD score=0.34 justerad=0.39. Matchar category: Flerbostad/verksamhet, service_type: Hämtning/tömning. Skillnader container_type: Word='' kandidat='Brunn', container_volume_liter: Word='' kandidat='3m3', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Volym'
- REVIEW_REQUIRED | 3.1 | Tillägg per m3 över 3 m3 | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.51 justerad=0.56. Matchar category: Flerbostad/verksamhet, waste_type: Slam, service_type: Hämtning/tömning. Skillnader property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Tillfälle', factor_hint: Word='' kandidat='TILLFÄLLE'
- NEW_TAXA | 3.2 | Dragning av extra slang vid 5-25 m | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT BDT03SLORD score=0.26 justerad=0.31. Matchar category: Flerbostad/verksamhet. Skillnader service_type: Word='' kandidat='Hämtning/tömning', container_type: Word='' kandidat='Brunn', container_volume_liter: Word='' kandidat='3m3', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 3.2 | Dragning av extra slang vid 25-35 m | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.62 justerad=0.67. Matchar category: Flerbostad/verksamhet, service_type: Extra, container_type: Brunn, container_volume_liter: 5m3, unit_type: Volym, factor_hint: VOLM. Skillnader waste_type: Word='Träavfall' kandidat='', property_type: Word='Flerbostadshus' kandidat=''
- NEW_TAXA | 3.2 | Dragning av extra slang vid 36-45 m | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT BDT03SLORD score=0.34 justerad=0.39. Matchar category: Flerbostad/verksamhet, service_type: Hämtning/tömning. Skillnader container_type: Word='' kandidat='Brunn', container_volume_liter: Word='' kandidat='3m3', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Volym'
- NEW_TAXA | 3.2 | Dragning av extra slang vid 46-55 m | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT BDT03SLORD score=0.34 justerad=0.39. Matchar category: Flerbostad/verksamhet, service_type: Hämtning/tömning. Skillnader container_type: Word='' kandidat='Brunn', container_volume_liter: Word='' kandidat='3m3', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Volym'
- NEW_TAXA | 3.2 | Hantering av brunnslock som väger 15-25 kg | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT BDT03SLORD score=0.30 justerad=0.35. Matchar category: Flerbostad/verksamhet, service_type: Hämtning/tömning. Skillnader container_type: Word='' kandidat='Brunn', container_volume_liter: Word='' kandidat='3m3', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='Styck' kandidat='Volym'
- NEW_TAXA | 3.2 | Krav på information om tömningstid | source=SemanticDecisionEngine rule=Ingen kandidat över granskningsgräns edp= standard= | Bästa kandidat var för svag. Kandidat=RULE:TAXEPUNKT LATRINBEHÅLL score=0.50 justerad=0.55. Matchar category: Flerbostad/verksamhet, service_type: Abonnemang, container_type: Latrin, container_volume_liter: 37. Skillnader property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='Behållarvolym' kandidat='Styck', factor_hint: Word='VOLYM/BEHÅLLARE' kandidat='KVAN'
- REVIEW_REQUIRED | 3.2 | Krav på närvaro vid specificerad tömningstid | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.17 justerad=0.21. Matchar category: Tilläggstjänst. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='Vikt' kandidat='', factor_hint: Word='VIKG' kandidat=''
- REVIEW_REQUIRED | 3.2 | Hantering av kod för kodlås vid slamtömning | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.17 justerad=0.21. Matchar category: Tilläggstjänst. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='Vikt' kandidat='', factor_hint: Word='VIKG' kandidat=''
- REVIEW_REQUIRED | 3.2 | Hetvattentvätt med spolbil, timersättning | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.27 justerad=0.32. Matchar category: Tilläggstjänst, service_type: Hämtning/tömning. Skillnader property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Tillfälle', factor_hint: Word='' kandidat='TILLFÄLLE'
- REVIEW_REQUIRED | 3.2 | Tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3 | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.27 justerad=0.32. Matchar category: Tilläggstjänst, service_type: Hämtning/tömning. Skillnader property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Tillfälle', factor_hint: Word='' kandidat='TILLFÄLLE'
- REVIEW_REQUIRED | 3.3 | Budning inom ordinarie tömningsperiod (1 maj- 31 oktober) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.20 justerad=0.24. Matchar category: Tilläggstjänst. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat='', unit_type: Word='' kandidat='Tillfälle', factor_hint: Word='' kandidat='TILLFÄLLE'
- REVIEW_REQUIRED | 3.3 | Budning utanför ordinarie tömningsperiod (1 nov – 30 april) | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.45 justerad=0.49. Matchar category: Slam, container_volume_liter: 3m3, unit_type: Volym, factor_hint: VOLM. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
- REVIEW_REQUIRED | 3.3 | Tömning av toalettvagnar eller liknande /styck | source=Taxepunkter rule=Bästa semantiska kandidat saknar taxekod edp= standard= | Kandidaten kan ge beslutsstöd men saknar taxekod. Kandidat=RULE:TAXEPUNKT  score=0.45 justerad=0.49. Matchar category: Slam, container_volume_liter: 3m3, unit_type: Volym, factor_hint: VOLM. Skillnader service_type: Word='' kandidat='Hämtning/tömning', property_type: Word='Flerbostadshus' kandidat=''
