Sheet;Rows;Columns;Section header row;Start row;End row;Row count;Key columns;Headers;Tables;Formula count;Merged ranges count
Standard Avfall;474;11;1;2;470;469;TaxaKod | Benämning | Faktor | Formel;Kommentar | Tillgänglig för tjänster | TaxaKod | Benämning | Avser | Faktor | Formel | Faktureras ej kund;;0;0
Standard Slam;129;9;1;2;121;120;TaxaKod | Benämning | Faktor | Formel;Tillgänglig för tjänster | TaxaKod | Benämning | Avser | Faktor | Formel | Faktureras ej kund;;0;0
Standard ÅVS;31;40;1;2;31;30;Taxekod | Taxebenamning | Faktor | Formel | TaxedelLayoutkod;Kommentar | Kvantitet | Standardvarde | TillgangligForTjanster | Fakturagrupp | Produkt | Delprodukt | TaxaLayoutkod | FakturaFrekvens | Taxekod | Taxebenamning | Avser | DelRadsNr | Faktor | Formel | PrisFromDat | Pris | TaxedelLayoutkod | Enhet | Moms | Konto | Delas | Inkmoms | HandelseDebiterasSamtidigtMedTjansten | DelaAvenHandelseDaTjanstDelas | Handelsetyp | TaxaSpecificeringstyp | DelarFran | DelarTill | Behallare | Entreprenor | Avfallstyp | Avfallskod | Ordertyp | RDKod | TomnFrekv | TomnAr | VolymAr | FaktueraavenKvantNoll | FaktureraEjKund;;0;0
