tax_code;attribute_key;attribute_count;materials;waste_types;units;container_types;intervals;property_types;source;source_text
;FARLIGT AVFALL|TON|VERKSAMHET;3;;FARLIGT AVFALL;TON;;;VERKSAMHET;RULE:Taxepunkter:261;Material till sortering (ej innehålla farligt avfall och elavfall) ÅVC/verksamhetsavfall Elavfall Vikt VIKG §6.1.2 | §6.1.2 | Material till sortering (ej innehålla farligt avfall och elavfall) |  | kr/ton |  |  |  |  |  |  | 
AVGNIVÅ1V;FARLIGT AVFALL|VERKSAMHET;2;;FARLIGT AVFALL;;;;VERKSAMHET;RULE:Taxa_från_edp:193;ÅVC-abonnemang nivå 1 – ej miljöfarligt avfall. Verksamhet Okänd ÅRPR AVGNIVÅ1V | ÅVC-abonnemang nivå 1 – ej miljöfarligt avfall. Verksamhet | ÅRPR | ÅVC-abonnemang nivå 1 – ej miljöfarligt avfall | 
AVGNIVÅ2V;FARLIGT AVFALL|VERKSAMHET;2;;FARLIGT AVFALL;;;;VERKSAMHET;RULE:Taxa_från_edp:194;ÅVC-abonnemang nivå 2 – med miljöfarligt avfall. Verksamhet Okänd ÅRPR AVGNIVÅ2V | ÅVC-abonnemang nivå 2 – med miljöfarligt avfall. Verksamhet | ÅRPR | ÅVC-abonnemang nivå 2 – med miljöfarligt avfall | 
ÅVCVERKSAM;FARLIGT AVFALL|VERKSAMHET;2;;FARLIGT AVFALL;;;;VERKSAMHET;RULE:Taxa_från_edp:206;ÅVC abonnemang 1 - ej miljöfarligt avfall ÅVC/verksamhetsavfall ÅRKV ÅVCVERKSAM | ÅVC abonnemang 1 - ej miljöfarligt avfall | ÅRKV | ÅVC-abonnemang nivå 1 – ej miljöfarligt avfall | FAST
ÅVCVERKSAMFA;FARLIGT AVFALL|VERKSAMHET;2;;FARLIGT AVFALL;;;;VERKSAMHET;RULE:Taxa_från_edp:207;ÅVC abonnemang 2 - farligt avfall ÅVC/verksamhetsavfall ÅRKV ÅVCVERKSAMFA | ÅVC abonnemang 2 - farligt avfall | ÅRKV | ÅVC-abonnemang nivå 2 – med miljöfarligt avfall | FAST
;FRITIDSHUS;1;;;;;;FRITIDSHUS;RULE:Taxepunkter:24;Hushåll §2.2.2 Hämtningsavgift per år för fritidshus | §2.2.2 Hämtningsavgift per år för fritidshus |  |  |  |  |  |  |  |  |  | 
FASTFRI;FRITIDSHUS;1;;;;;;FRITIDSHUS;STANDARD:Standard Avfall:5;Fast grundavgift, fritidshus ÅRKV FAST
GEMUPPFRINYCKEL;FRITIDSHUS;1;;;;;;FRITIDSHUS;RULE:Taxa_från_edp:103;Nyckelfob till Gemensam uppsamlingsplats, fritidshus Okänd TEXT GEMUPPFRINYCKEL | Nyckelfob till Gemensam uppsamlingsplats, fritidshus | TEXT | Nyckelfob, engångskostnad | 
GRUNDFRI;FRITIDSHUS;1;;;;;;FRITIDSHUS;RULE:Taxa_från_edp:109;Grundavgift, fritidshus Okänd ÅRKV GRUNDFRI | Grundavgift, fritidshus | ÅRKV | Grundavgift, fritidshus | GRUN
GRUNDFRI;FRITIDSHUS;1;;;;;;FRITIDSHUS;RULE:Taxepunkter:8;Fritidshus Hushåll §2.1 | §2.1 | Fritidshus |  | st/år | GRUNDFRI | GRUNDFRI |  |  |  |  | 
VSOMMAR;FRITIDSHUS;1;;;;;;FRITIDSHUS;RULE:Taxa_från_edp:205;Sommarvatten Okänd ÅRKV VSOMMAR | Sommarvatten | ÅRKV | Total årskostnad för sommarvatten per Fritidshus maj-sept | BOEN
VSUFRI;FRITIDSHUS;1;;;;;;FRITIDSHUS;RULE:Taxa_från_edp:321;Vatten och spillvatten utan mätning fritidshus Okänd ÅRPR VSUFRI | Vatten och spillvatten utan mätning fritidshus | ÅRPR | Grundavgift VA | 
VSUFRI;FRITIDSHUS;1;;;;;;FRITIDSHUS;RULE:Taxa_från_edp:323;Vatten och spillvatten utan mätning fritidshus Okänd ÅRKV VSUFRI | Vatten och spillvatten utan mätning fritidshus | ÅRKV | Bostadsenhetsavgift per bostadsenhet VA | LÄGH
VSUFRI;FRITIDSHUS;1;;;;;;FRITIDSHUS;RULE:Taxa_från_edp:324;Vatten och spillvatten utan mätning fritidshus Okänd ÅRKV VSUFRI | Vatten och spillvatten utan mätning fritidshus | ÅRKV | Avgift per påbörjad 150-tal m² bruttoarea | HELTALSDEL((BTAY+149)/150)
VUFRI;FRITIDSHUS;1;;;;;;FRITIDSHUS;RULE:Taxa_från_edp:331;Vatten utan mätare fritidshus Okänd ÅRPR VUFRI | Vatten utan mätare fritidshus | ÅRPR | Grundavgift + Bostadsenhetsavgift VA | 
