tax_code;attribute_key;attribute_count;materials;waste_types;units;container_types;intervals;property_types;source;source_text
KÄ370FF111S;LITER|KÄRL,FACK;3;;;LITER;KÄRL,FACK;;;STANDARD:Standard Avfall:193;Kärl, 370 L fyrfack. Kärl 1, var 14:e dag säsong ÅRKV ANTB
KÄ370FF113;LITER|KÄRL,FACK;3;;;LITER;KÄRL,FACK;;;STANDARD:Standard Avfall:189;Kärl, 370 L fyrfack. kärl 1. Var 4:e vecka ÅRKV ANTB
KÄ370FF126;LITER|KÄRL,FACK;3;;;LITER;KÄRL,FACK;;;STANDARD:Standard Avfall:187;Kärl, 370 L fyrfack. Kärl 1. Var 14:e dag ÅRKV ANTB
KÄ370FF16S;LITER|KÄRL,FACK;3;;;LITER;KÄRL,FACK;;;STANDARD:Standard Avfall:194;Kärl, 370 L fyrfack. Kärl 1. Var 4:e vecka säsong ÅRKV ANTB
KÄ370FF213;LITER|KÄRL,FACK;3;;;LITER;KÄRL,FACK;;;STANDARD:Standard Avfall:190;Kärl, 370 L fyrfack. kärl 2. Var 4:e vecka ÅRKV ANTB
KÄ370FF226;LITER|KÄRL,FACK;3;;;LITER;KÄRL,FACK;;;STANDARD:Standard Avfall:188;Kärl, 370 L fyrfack. Kärl 2. Var 14:e dag ÅRKV ANTB
KÄ370FF26S;LITER|KÄRL,FACK;3;;;LITER;KÄRL,FACK;;;STANDARD:Standard Avfall:195;Kärl, 370 L fyrfack. Kärl 2. Var 4:e vecka säsong ÅRKV ANTB
KK400OS104;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:170;Kärl komp. 400 L, osort. avfall. 2ggr/ vecka ÅRKV ANTB
KÄ140OS104;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:121;Kärl 140 L, osort. avfall. 2ggr/ vecka ÅRKV ANTB
KÄ140OS44S;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:125;Kärl 140 L, osort. avfall. 2ggr/ vecka säsong ÅRKV ANTB
KÄ190OS104;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:141;Kärl 190 L, osort. avfall. 2ggr/ vecka ÅRKV ANTB
KÄ190OS44S;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:145;Kärl 190 L, osort. avfall. 2ggr/ vecka säsong ÅRKV ANTB
KÄ190WE104;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:325;Kärl 190 L, wellpapp. 2ggr/ vecka ÅRKV ANTB
KÄ240OS104;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:151;Kärl 240 L, osort. avfall. 2ggr/ vecka ÅRKV ANTB
KÄ240OS44S;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:155;Kärl 240 L, osort. avfall. 2ggr/vecka säsong ÅRKV ANTB
KÄ370OS104;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:161;Kärl 370 L, osort. avfall. 2ggr/ vecka ÅRKV ANTB
KÄ370OS44S;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:165;Kärl 370 L, osort. avfall. 2ggr/vecka säsong ÅRKV ANTB
KÄ370WE104;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:355;Kärl 370 L, wellpapp. 2ggr/ vecka ÅRKV ANTB
KÄ660OS104;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:175;Kärl 660 L, osort. avfall. 2ggr/ vecka ÅRKV ANTB
KÄ660OS44S;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:179;Kärl 660 L, osort. avfall. 2ggr/vecka säsong ÅRKV ANTB
KÄ660WE104;LITER|KÄRL|2 GGR;3;;;LITER;KÄRL;2 GGR;;STANDARD:Standard Avfall:385;Kärl 660 L, wellpapp. 2ggr/ vecka ÅRKV ANTB
KÄ140OS156;LITER|KÄRL|3 GGR;3;;;LITER;KÄRL;3 GGR;;STANDARD:Standard Avfall:120;Kärl 140 L, osort. avfall. 3ggr/ vecka ÅRKV ANTB
KÄ190OS156;LITER|KÄRL|3 GGR;3;;;LITER;KÄRL;3 GGR;;STANDARD:Standard Avfall:140;Kärl 190 L, osort. avfall. 3ggr/ vecka ÅRKV ANTB
KÄ240OS156;LITER|KÄRL|3 GGR;3;;;LITER;KÄRL;3 GGR;;STANDARD:Standard Avfall:150;Kärl 240 L, osort. avfall. 3ggr/ vecka ÅRKV ANTB
KÄ370OS156;LITER|KÄRL|3 GGR;3;;;LITER;KÄRL;3 GGR;;STANDARD:Standard Avfall:160;Kärl 370 L, osort. avfall. 3ggr/ vecka ÅRKV ANTB
KÄ660OS156;LITER|KÄRL|3 GGR;3;;;LITER;KÄRL;3 GGR;;STANDARD:Standard Avfall:174;Kärl 660 L, osort. avfall. 3ggr/ vecka ÅRKV ANTB
FKOMPPSÄCK45;LITER|SÄCK;2;;;LITER;SÄCK;;;STANDARD:Standard Avfall:280;Försäljning kompostsäckar, 45 L KVAN ANTL
FKOMPSTÄLL45;LITER|SÄCK;2;;;LITER;SÄCK;;;STANDARD:Standard Avfall:282;Försäljning ställning för 45 L kompostsäck, enkelställ på hjul KVAN ANTL
FKOMPSTÄLL45D;LITER|SÄCK;2;;;LITER;SÄCK;;;STANDARD:Standard Avfall:283;Försäljning ställning för 45 L kompostsäck, dubbelställ på hjul KVAN ANTL
SÄ160OS11S;LITER|SÄCK;2;;;LITER;SÄCK;;;STANDARD:Standard Avfall:137;Säck 160 L, osort. avfall. Var 14:e dag säsong ÅRKV ANTB
SÄ160OS13;LITER|SÄCK;2;;;LITER;SÄCK;;;STANDARD:Standard Avfall:134;Säck 160 L, osort. avfall. Var 4:e vecka ÅRKV ANTB
SÄ160OS22S;LITER|SÄCK;2;;;LITER;SÄCK;;;STANDARD:Standard Avfall:136;Säck 160 L, osort. avfall. Varje vecka säsong ÅRKV ANTB
SÄ160OS26;LITER|SÄCK;2;;;LITER;SÄCK;;;STANDARD:Standard Avfall:133;Säck 160 L, osort. avfall. Var 14:e dag ÅRKV ANTB
SÄ160OS52;LITER|SÄCK;2;;;LITER;SÄCK;;;STANDARD:Standard Avfall:132;Säck 160 L, osort. avfall. Varje vecka ÅRKV ANTB
SÄ160OS6S;LITER|SÄCK;2;;;LITER;SÄCK;;;STANDARD:Standard Avfall:138;Säck 160 L, osort. avfall. Var 4:e vecka säsong ÅRKV ANTB
SÄ160OS104;LITER|SÄCK|2 GGR;3;;;LITER;SÄCK;2 GGR;;STANDARD:Standard Avfall:131;Säck 160 L, osort. avfall. 2ggr/ vecka ÅRKV ANTB
SÄ160OS44S;LITER|SÄCK|2 GGR;3;;;LITER;SÄCK;2 GGR;;STANDARD:Standard Avfall:135;Säck 160 L, osort. avfall. 2ggr/ vecka säsong ÅRKV ANTB
SÄ160OS156;LITER|SÄCK|3 GGR;3;;;LITER;SÄCK;3 GGR;;STANDARD:Standard Avfall:130;Säck 160 L, osort. avfall. 3ggr/ vecka ÅRKV ANTB
;LITER|VERKSAMHET;2;;;LITER;;;VERKSAMHET;RULE:Taxepunkter:208;Latrinbehållare 37 liter inkl. mottagning och behandling Flerbostad/verksamhet Styck ST 37 §3.4 | §3.4 | Latrinbehållare 37 liter inkl. mottagning och behandling |  | st |  |  |  |  |  |  | 
;LITER|VERKSAMHET;2;;;LITER;;;VERKSAMHET;RULE:Taxepunkter:281;Oljehaltigt avfall (Spillolja) i dunkar mindre än 10 liter Avfallskod 20 01 26* ÅVC/verksamhetsavfall Oljeavfall Behållarvolym VOLYM/BEHÅLLARE 10 §6.1.2 | §6.1.2 | Oljehaltigt avfall (Spillolja) i dunkar mindre än 10 liter Avfallskod 20 01 26* | 3295 | Kr/l |  |  |  |  |  |  | 
;LITER|VERKSAMHET;2;;;LITER;;;VERKSAMHET;RULE:Taxepunkter:282;Oljehaltigt avfall (Spillolja) i fat och dunkar större än 10 liter Avfallskod 20 01 26* ÅVC/verksamhetsavfall Oljeavfall Behållarvolym VOLYM/BEHÅLLARE 10 §6.1.2 | §6.1.2 | Oljehaltigt avfall (Spillolja) i fat och dunkar större än 10 liter Avfallskod 20 01 26* | 3295 | Kr/l |  |  |  |  |  |  | 
;LÄGENHET;1;;;;;;LÄGENHET;RULE:Taxa_Saknas:2;§2.1 | 5 | 11 | Lägenhet för specialändamål | Saknas i EDP – föreslagen ny taxa | Kodförslag baserat på prefix/suffix och text i Taxepunkter | GRUNDSPEC | 11 | Grundavgift / Lägenhet för specialändamål | GRUNDSPEC | Lägenhet för specialändamål | RENH | HUSH | 1 | ÅRKV | Lägenhet för specialändamål | 0 | - | 1 | ANTB
GRUNDFLB;LÄGENHET;1;;;;;;LÄGENHET;RULE:Taxepunkter:10;Lägenhet i flerbostadshus Hushåll §2.1 | §2.1 | Lägenhet i flerbostadshus |  | st/år | GRUNDFLB | GRUNDFLB |  |  |  |  | 
GRUNDSPEC;LÄGENHET;1;;;;;;LÄGENHET;RULE:Taxepunkter:11;Lägenhet för specialändamål Hushåll §2.1 | §2.1 | Lägenhet för specialändamål |  | st/år | GRUNDSPEC | GRUNDSPEC |  |  |  |  | 
SBOSTAD;LÄGENHET;1;;;;;;LÄGENHET;RULE:Taxa_från_edp:278;Spillvatten Bostad Okänd ÅRKV SBOSTAD | Spillvatten Bostad | ÅRKV | Avgift, per lägenhet | LÄGH
SUBOSTAD;LÄGENHET;1;;;;;;LÄGENHET;RULE:Taxa_från_edp:284;Spillvatten Uppsk. Förbrukning Bostad Okänd ÅRKV SUBOSTAD | Spillvatten Uppsk. Förbrukning Bostad | ÅRKV | Avgift, per lägenhet | LÄGH
;LÄGENHET,CAMPING;2;;;;;;LÄGENHET,CAMPING;RULE:Taxa_Saknas:5;§2.1 | 8 | 14 | Campingstuga/-lägenhet | Saknas i EDP – föreslagen ny taxa | Kodförslag baserat på prefix/suffix och text i Taxepunkter | GRUNDCAMP | 14 | Grundavgift / Campingstuga/-lägenhet | GRUNDCAMP | Campingstuga/-lägenhet | RENH | HUSH | 1 | ÅRKV | Campingstuga/-lägenhet | 0 | - | 1 | ANTB
GRUNDCAMP;LÄGENHET,CAMPING;2;;;;;;LÄGENHET,CAMPING;RULE:Taxepunkter:14;Campingstuga/-lägenhet Hushåll §2.1 | §2.1 | Campingstuga/-lägenhet |  | st/år | GRUNDCAMP | GRUNDCAMP |  |  |  |  | 
AVS03FE;M3;1;;;M3;;;;STANDARD:Standard Slam:114;Avskiljare 0-3 m³, fett KVAN ANTL
AVS03FEB;M3;1;;;M3;;;;STANDARD:Standard Slam:110;Avskiljare 0-3 m³, fett. Budning KVAN ANTL
AVS03FEBUD;M3;1;;;M3;;;;STANDARD:Standard Slam:102;Avskiljare 0-3 m³, fett. Budning ÅRKV 0
AVS03FEO;M3;1;;;M3;;;;STANDARD:Standard Slam:107;Avskiljare 0-3 m³, fett. Ordinarie tur KVAN ANTL
AVS03FEORD;M3;1;;;M3;;;;STANDARD:Standard Slam:99;Avskiljare 0-3 m³, fett. Ordinarie tur ÅRKV 0
AVS03SL;M3;1;;;M3;;;;STANDARD:Standard Slam:76;Avskiljare 0-3 m³, slam KVAN ANTL
AVS03SLB;M3;1;;;M3;;;;STANDARD:Standard Slam:59;Avskiljare 0-3 m³, slam. Budning KVAN ANTL
AVS03SLBUD;M3;1;;;M3;;;;STANDARD:Standard Slam:26;Avskiljare 0-3 m³, slam. Budning ÅRKV 0
AVS03SLO;M3;1;;;M3;;;;STANDARD:Standard Slam:43;Avskiljare 0-3 m³, slam. Ordinarie tur KVAN ANTL
AVS03SLORD;M3;1;;;M3;;;;STANDARD:Standard Slam:10;Avskiljare 0-3 m³, slam. Ordinarie tur ÅRKV 0
AVS36FE;M3;1;;;M3;;;;STANDARD:Standard Slam:115;Avskiljare 3-6 m³, fett KVAN ANTL
AVS36FEB;M3;1;;;M3;;;;STANDARD:Standard Slam:111;Avskiljare 3-6 m³, fett. Budning KVAN ANTL
AVS36FEBUD;M3;1;;;M3;;;;STANDARD:Standard Slam:103;Avskiljare 3-6 m³, fett. Budning ÅRKV 1
AVS36FEO;M3;1;;;M3;;;;STANDARD:Standard Slam:108;Avskiljare 3-6 m³, fett. Ordinarie tur KVAN ANTL
AVS36FEORD;M3;1;;;M3;;;;STANDARD:Standard Slam:100;Avskiljare 3-6 m³, fett. Ordinarie tur ÅRKV 0
AVS36SL;M3;1;;;M3;;;;STANDARD:Standard Slam:77;Avskiljare 3,1-6 m³, slam KVAN ANTL
AVS36SLB;M3;1;;;M3;;;;STANDARD:Standard Slam:60;Avskiljare 3,1-6 m³, slam. Budning KVAN ANTL
AVS36SLBUD;M3;1;;;M3;;;;STANDARD:Standard Slam:27;Avskiljare 3,1-6 m³, slam. Budning ÅRKV 0
AVS36SLO;M3;1;;;M3;;;;STANDARD:Standard Slam:44;Avskiljare 3,1-6 m³, slam. Ordinarie tur KVAN ANTL
AVS36SLORD;M3;1;;;M3;;;;STANDARD:Standard Slam:11;Avskiljare 3,1-6 m³, slam. Ordinarie tur ÅRKV 0
AVSÖ6FE;M3;1;;;M3;;;;STANDARD:Standard Slam:116;Avskiljare över 6 m³, fett KVAN ANTL
AVSÖ6FEB;M3;1;;;M3;;;;STANDARD:Standard Slam:112;Avskiljare över 6 m³, fett. Budning KVAN ANTL
AVSÖ6FEBUD;M3;1;;;M3;;;;STANDARD:Standard Slam:104;Avskiljare över 6 m³, fett. Budning ÅRKV 2
AVSÖ6FEO;M3;1;;;M3;;;;STANDARD:Standard Slam:109;Avskiljare över 6 m³, fett. Ordinarie tur KVAN ANTL
AVSÖ6FEORD;M3;1;;;M3;;;;STANDARD:Standard Slam:101;Avskiljare över 6 m³, fett. Ordinarie tur ÅRKV 0
AVSÖ6SL;M3;1;;;M3;;;;STANDARD:Standard Slam:78;Avskiljare över 6 m³, slam KVAN ANTL
AVSÖ6SLB;M3;1;;;M3;;;;STANDARD:Standard Slam:61;Avskiljare över 6 m³, slam. Budning KVAN ANTL
AVSÖ6SLBUD;M3;1;;;M3;;;;STANDARD:Standard Slam:28;Avskiljare över 6 m³, slam. Budning ÅRKV 0
AVSÖ6SLO;M3;1;;;M3;;;;STANDARD:Standard Slam:45;Avskiljare över 6 m³, slam. Ordinarie tur KVAN ANTL
AVSÖ6SLORD;M3;1;;;M3;;;;STANDARD:Standard Slam:12;Avskiljare över 6 m³, slam. Ordinarie tur ÅRKV 0
BDT03SL;M3;1;;;M3;;;;RULE:Taxa_från_edp:67;Tömning BDT-vatten 0-3 m³, slam Slam Slam KVAN BDT03SL | Tömning BDT-vatten 0-3 m³, slam | KVAN | Tömning BDT-vatten, 0-3 m³ | ANTL
BDT03SL;M3;1;;;M3;;;;STANDARD:Standard Slam:85;BDT, 0-3 m³ slam KVAN ANTL
BDT03SLB;M3;1;;;M3;;;;STANDARD:Standard Slam:68;BDT, 0-3 m³ slam. Budning KVAN ANTL
BDT03SLBUD;M3;1;;;M3;;;;RULE:Taxa_från_edp:8;BDT 0-3 m³, slam. Budning Slam Slam ÅRKV BDT03SLBUD | BDT 0-3 m³, slam. Budning | ÅRKV | BDT 0-3 m³, slam. Budning | 0
BDT03SLBUD;M3;1;;;M3;;;;STANDARD:Standard Slam:35;BDT, 0-3 m³ slam. Budning ÅRKV 5
BDT03SLO;M3;1;;;M3;;;;STANDARD:Standard Slam:52;BDT, 0-3 m³ slam. Ordinarie tur KVAN ANTL
BDT03SLORD;M3;1;;;M3;;;;RULE:Taxa_från_edp:9;BDT 0-3 m³, slam. Ordinarie tur Slam Slam ÅRKV BDT03SLORD | BDT 0-3 m³, slam. Ordinarie tur | ÅRKV | BDT 0-3 m³, slam. Ordinarie tur | 0
BDT03SLORD;M3;1;;;M3;;;;STANDARD:Standard Slam:19;BDT, 0-3 m³ slam. Ordinarie tur ÅRKV 0
BDT36SL;M3;1;;;M3;;;;STANDARD:Standard Slam:86;BDT, 3,1-6 m³ slam KVAN ANTL
BDT36SLB;M3;1;;;M3;;;;STANDARD:Standard Slam:69;BDT, 3,1-6 m³ slam. Budning KVAN ANTL
BDT36SLBUD;M3;1;;;M3;;;;STANDARD:Standard Slam:36;BDT, 3,1-6 m³ slam. Budning ÅRKV 6
BDT36SLO;M3;1;;;M3;;;;STANDARD:Standard Slam:53;BDT, 3,1-6 m³ slam. Ordinarie tur KVAN ANTL
BDT36SLORD;M3;1;;;M3;;;;STANDARD:Standard Slam:20;BDT, 3,1-6 m³ slam. Ordinarie tur ÅRKV 0
BDTÖ3SLBUD;M3;1;;;M3;;;;RULE:Taxa_från_edp:10;BDT över 3 m³, slam. Budning Slam Slam ÅRKV BDTÖ3SLBUD | BDT över 3 m³, slam. Budning | ÅRKV | BDT över 3 m³, slam. Budning | 0
BDTÖ3SLORD;M3;1;;;M3;;;;RULE:Taxa_från_edp:11;BDT över 3 m³, slam. Ordinarie tur Slam Slam ÅRKV BDTÖ3SLORD | BDT över 3 m³, slam. Ordinarie tur | ÅRKV | BDT över 3 m³, slam. Ordinarie tur | 0
BRN03SL;M3;1;;;M3;;;;RULE:Taxa_från_edp:155;Tömning brunn 0-3 m³, slam Slam Slam KVAN BRN03SL | Tömning brunn 0-3 m³, slam | KVAN | Tömning slam, brunn 0-3 m³ | ANTL
BRN03SL;M3;1;;;M3;;;;STANDARD:Standard Slam:73;Brunn 0-3 m³, slam KVAN ANTL
BRN03SLB;M3;1;;;M3;;;;STANDARD:Standard Slam:56;Brunn 0-3 m³, slam. Budning KVAN ANTL
BRN03SLBUD;M3;1;;;M3;;;;RULE:Taxa_från_edp:12;Brunn 0-3 m³, slam. Budning Slam Slam ÅRKV BRN03SLBUD | Brunn 0-3 m³, slam. Budning | ÅRKV | Brunn 0-3 m³, slam. Budning | 0
BRN03SLBUD;M3;1;;;M3;;;;STANDARD:Standard Slam:23;Brunn 0-3 m³, slam. Budning ÅRKV 0
BRN03SLO;M3;1;;;M3;;;;STANDARD:Standard Slam:40;Brunn 0-3 m³, Slam. Ordinarie tur KVAN ANTL
BRN03SLORD;M3;1;;;M3;;;;RULE:Taxa_från_edp:13;Brunn 0-3 m³, slam. Ordinarie tur Slam Slam ÅRKV BRN03SLORD | Brunn 0-3 m³, slam. Ordinarie tur | ÅRKV | Brunn 0-3 m³, slam. Ordinarie tur | 0
BRN03SLORD;M3;1;;;M3;;;;STANDARD:Standard Slam:7;Brunn 0-3 m³, Slam. Ordinarie tur ÅRKV 0
BRN03SLORDDEL;M3;1;;;M3;;;;RULE:Taxa_från_edp:14;Brunn 0-3 m³, slam. Ordinarie tur Slam Slam ÅRKV BRN03SLORDDEL | Brunn 0-3 m³, slam. Ordinarie tur | ÅRKV | Brunn 0-3 m³, slam. Ordinarie tur | 0
BRN36SL;M3;1;;;M3;;;;RULE:Taxa_från_edp:156;Brunn 3,1-6 m³, slam Slam Slam KVAN BRN36SL | Brunn 3,1-6 m³, slam | KVAN | Tömning slam, brunn 3,1-6 m³ | ANTL
BRN36SL;M3;1;;;M3;;;;STANDARD:Standard Slam:74;Brunn 3,1-6 m³, slam KVAN ANTL
BRN36SLB;M3;1;;;M3;;;;STANDARD:Standard Slam:57;Brunn 3,1-6 m³, slam. Budning KVAN ANTL
BRN36SLBUD;M3;1;;;M3;;;;RULE:Taxa_från_edp:15;Brunn 3,1-6 m³, slam. Budning Slam Slam ÅRKV BRN36SLBUD | Brunn 3,1-6 m³, slam. Budning | ÅRKV | Brunn 3,1-6 m³, slam. Budning | 0
BRN36SLBUD;M3;1;;;M3;;;;STANDARD:Standard Slam:24;Brunn 3,1-6 m³, slam. Budning ÅRKV 0
BRN36SLO;M3;1;;;M3;;;;STANDARD:Standard Slam:41;Brunn 3,1-6 m³, slam. Ordinarie tur KVAN ANTL
BRN36SLORD;M3;1;;;M3;;;;RULE:Taxa_från_edp:16;Brunn 3,1-6 m³, slam. Ordinarie tur Slam Slam ÅRKV BRN36SLORD | Brunn 3,1-6 m³, slam. Ordinarie tur | ÅRKV | Brunn 3,1-6 m³, slam. Ordinarie tur | 0
BRN36SLORD;M3;1;;;M3;;;;STANDARD:Standard Slam:8;Brunn 3,1-6 m³, slam. Ordinarie tur ÅRKV 0
BRN36SLORDDEL;M3;1;;;M3;;;;RULE:Taxa_från_edp:17;Brunn 3-6 m³, slam. Ordinarie tur Slam Slam ÅRKV BRN36SLORDDEL | Brunn 3-6 m³, slam. Ordinarie tur | ÅRKV | Brunn 0-3 m³, slam. Ordinarie tur | 0
BRN69LORDDEL;M3;1;;;M3;;;;RULE:Taxa_från_edp:334;Brunn 6,1-9 m³, slam. Ordinarie tur Slam Slam ÅRKV BRN69LORDDEL | Brunn 6,1-9 m³, slam. Ordinarie tur | ÅRKV | Brunn 6,1-9 m³, slam. Ordinarie tur | 0
BRN69SL;M3;1;;;M3;;;;RULE:Taxa_från_edp:157;Brunn över 6,1 m³, slam Slam Slam KVAN BRN69SL | Brunn över 6,1 m³, slam | KVAN | Tömning slam, brunn över 6,1 m³ | ANTL
BRN69SLBUD;M3;1;;;M3;;;;RULE:Taxa_från_edp:18;Brunn 6,1-9 m³, slam. Budning Slam Slam ÅRKV BRN69SLBUD | Brunn 6,1-9 m³, slam. Budning | ÅRKV | Brunn 6,1-9 m³, slam. Budning | 0
BRN69SLORD;M3;1;;;M3;;;;RULE:Taxa_från_edp:19;Brunn 6,1-9 m³, slam. Ordinarie tur Slam Slam ÅRKV BRN69SLORD | Brunn 6,1-9 m³, slam. Ordinarie tur | ÅRKV | Brunn 6,1-9 m³, slam. Ordinarie tur | 0
BRNÖ6SL;M3;1;;;M3;;;;STANDARD:Standard Slam:75;Brunn över 6 m³, slam KVAN ANTL
BRNÖ6SLB;M3;1;;;M3;;;;STANDARD:Standard Slam:58;Brunn över 6 m³, slam. Budning KVAN ANTL
BRNÖ6SLBUD;M3;1;;;M3;;;;STANDARD:Standard Slam:25;Brunn över 6 m³, slam. Budning ÅRKV 0
BRNÖ6SLO;M3;1;;;M3;;;;STANDARD:Standard Slam:42;Brunn över 6 m³, slam. Ordinarie tur KVAN ANTL
BRNÖ6SLORD;M3;1;;;M3;;;;STANDARD:Standard Slam:9;Brunn över 6 m³, slam. Ordinarie tur ÅRKV 0
BRNÖ9SLBUD;M3;1;;;M3;;;;RULE:Taxa_från_edp:20;Brunn över 9 m³, slam. Budning Slam Slam ÅRKV BRNÖ9SLBUD | Brunn över 9 m³, slam. Budning | ÅRKV | Brunn över 9 m³, slam. Budning | 0
BRNÖ9SLORD;M3;1;;;M3;;;;RULE:Taxa_från_edp:21;Brunn över 9 m³, slam. Ordinarie tur Slam Slam ÅRKV BRNÖ9SLORD | Brunn över 9 m³, slam. Ordinarie tur | ÅRKV | Brunn över 9 m³, slam. Ordinarie tur | 0
BV;M3;1;;;M3;;;;RULE:Taxa_från_edp:158;Byggvatten, med mätare Okänd FÖRB BV | Byggvatten, med mätare | FÖRB | Byggvatten, Rörlig avgift, förbrukning per m³ | 
BVU;M3;1;;;M3;;;;RULE:Taxa_från_edp:159;Byggvatten, utan mätare Okänd UPFÖ BVU | Byggvatten, utan mätare | UPFÖ | Byggvatten, Rörlig avgift, uppsk. förbrukning per m³ | 
Dummy SMS;M3;1;;;M3;;;;RULE:Taxa_från_edp:24;Dummy SMS Okänd ÅRKV Dummy SMS | Dummy SMS | ÅRKV | Brunn 0-3 m³, slam. Ordinarie tur | 0
MB1300OS13;M3;1;;;M3;;;;STANDARD:Standard Avfall:244;Markbehållare 1,3 m³, osorterat avfall. Var 4:e vecka ÅRKV ANTB
MB1300OS26;M3;1;;;M3;;;;STANDARD:Standard Avfall:243;Markbehållare 1,3 m³, osorterat avfall. Var 14:e dag ÅRKV ANTB
MB1300OS52;M3;1;;;M3;;;;STANDARD:Standard Avfall:242;Markbehållare 1,3 m³, osorterat avfall. Varje vecka ÅRKV ANTB
MB1300OSBUD;M3;1;;;M3;;;;STANDARD:Standard Avfall:245;Markbehållare 1,3 m³, osorterat avfall. Budning KVAN ANTL
MB1600OS13;M3;1;;;M3;;;;STANDARD:Standard Avfall:256;Markbehållare 1,6 m³, osorterat avfall. Var 4:e vecka ÅRKV ANTB
MB1600OS26;M3;1;;;M3;;;;STANDARD:Standard Avfall:255;Markbehållare 1,6 m³, osorterat avfall. Var 14:e dag ÅRKV ANTB
MB1600OS52;M3;1;;;M3;;;;STANDARD:Standard Avfall:254;Markbehållare 1,6 m³, osorterat avfall. Varje vecka ÅRKV ANTB
MB1600OSBUD;M3;1;;;M3;;;;STANDARD:Standard Avfall:257;Markbehållare 1,6 m³, osorterat avfall. Budning KVAN ANTL
MB1600TÖM;M3;1;;;M3;;;;RULE:Taxa_från_edp:210;Tömning Markbehållare 1,6 m³, osorterat avfall Okänd KVAN MB1600TÖM | Tömning Markbehållare 1,6 m³, osorterat avfall | KVAN | Tömning Markbehållare 1,6 m³, osorterat avfall | ANTB
MB2200OS13;M3;1;;;M3;;;;STANDARD:Standard Avfall:262;Markbehållare 2,2 m³, osorterat avfall. Var 4:e vecka ÅRKV ANTB
MB2200OS26;M3;1;;;M3;;;;STANDARD:Standard Avfall:261;Markbehållare 2,2 m³, osorterat avfall. Var 14:e dag ÅRKV ANTB
MB2200OS52;M3;1;;;M3;;;;STANDARD:Standard Avfall:260;Markbehållare 2,2 m³, osorterat avfall. Varje vecka ÅRKV ANTB
MB2200OSBUD;M3;1;;;M3;;;;STANDARD:Standard Avfall:263;Markbehållare 2,2 m³, osorterat avfall. Budning KVAN ANTL
MB3200OS13;M3;1;;;M3;;;;STANDARD:Standard Avfall:268;Markbehållare 3,2 m³, osorterat avfall. Var 4:e vecka ÅRKV ANTB
MB3200OS26;M3;1;;;M3;;;;STANDARD:Standard Avfall:267;Markbehållare 3,2 m³, osorterat avfall. Var 14:e dag ÅRKV ANTB
MB3200OS52;M3;1;;;M3;;;;STANDARD:Standard Avfall:266;Markbehållare 3,2 m³, osorterat avfall. Varje vecka ÅRKV ANTB
MB3200OSBUD;M3;1;;;M3;;;;STANDARD:Standard Avfall:269;Markbehållare 3,2 m³, osorterat avfall. Budning KVAN ANTL
MB3200TÖM;M3;1;;;M3;;;;RULE:Taxa_från_edp:211;Tömning Markbehållare 3,2 m³, osorterat avfall Okänd KVAN MB3200TÖM | Tömning Markbehållare 3,2 m³, osorterat avfall | KVAN | Tömning Markbehållare 3,2 m³, osorterat avfall | ANTB
MB3600TÖM;M3;1;;;M3;;;;RULE:Taxa_från_edp:212;Tömning Markbehållare 3,6 m³, osorterat avfall Okänd KVAN MB3600TÖM | Tömning Markbehållare 3,6 m³, osorterat avfall | KVAN | Tömning Markbehållare 3,6 m³, osorterat avfall | ANTB
MB5000OS13;M3;1;;;M3;;;;STANDARD:Standard Avfall:274;Markbehållare 5 m³, osorterat avfall. Var 4:e vecka ÅRKV ANTB
MB5000OS26;M3;1;;;M3;;;;STANDARD:Standard Avfall:273;Markbehållare 5 m³, osorterat avfall. Var 14:e dag ÅRKV ANTB
MB5000OS52;M3;1;;;M3;;;;STANDARD:Standard Avfall:272;Markbehållare 5 m³, osorterat avfall. Varje vecka ÅRKV ANTB
MB5000OSBUD;M3;1;;;M3;;;;STANDARD:Standard Avfall:275;Markbehållare 5 m³, osorterat avfall. Budning KVAN ANTL
