Knowledge Index Report

Status: Grupperar Word-taxor och standardtaxor inför regelbaserad matchning.
- category=ÅVC/verksamhetsavfall waste= unit=Behållarvolym factor=ÅRKV volume=660 features=0 standards=30
- category=ÅVC/verksamhetsavfall waste= unit=Styck factor=KVAN volume= features=0 standards=1
- category=ÅVC/verksamhetsavfall waste= unit=Styck factor=ST volume= features=4 standards=0
- category=ÅVC/verksamhetsavfall waste= unit=Styck factor=ST volume=240 features=1 standards=0
- category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=KVAN volume= features=0 standards=2
- category=ÅVC/verksamhetsavfall waste= unit=Vikt factor=VIKG volume= features=67 standards=0
- category=ÅVC/verksamhetsavfall waste= unit=Volym factor=VOLM volume= features=2 standards=0
- category=ÅVC/verksamhetsavfall waste=Asbest unit=Vikt factor=VIKG volume= features=1 standards=0
- category=ÅVC/verksamhetsavfall waste=Asbest unit=Volym factor=VOLM volume= features=1 standards=0
- category=ÅVC/verksamhetsavfall waste=Batterier unit=Vikt factor=VIKG volume= features=2 standards=0
- category=ÅVC/verksamhetsavfall waste=Betong unit=Vikt factor=VIKG volume= features=1 standards=0
- category=ÅVC/verksamhetsavfall waste=Elavfall unit= factor= volume= features=1 standards=0
- category=ÅVC/verksamhetsavfall waste=Elavfall unit=Vikt factor=VIKG volume= features=3 standards=0
- category=ÅVC/verksamhetsavfall waste=Förpackningar unit=Vikt factor=VIKG volume= features=1 standards=0
- category=ÅVC/verksamhetsavfall waste=Gips unit=Vikt factor=VIKG volume= features=1 standards=0
- category=ÅVC/verksamhetsavfall waste=Kyl/frys unit=Styck factor=ST volume= features=1 standards=0
- category=ÅVC/verksamhetsavfall waste=Kyl/frys unit=Vikt factor=VIKG volume= features=1 standards=0
- category=ÅVC/verksamhetsavfall waste=Matavfall unit= factor=KVAN volume= features=0 standards=3
- category=ÅVC/verksamhetsavfall waste=Matavfall unit= factor=ÅRKV volume= features=0 standards=13
- category=ÅVC/verksamhetsavfall waste=Matavfall unit=Behållarvolym factor=KVAN volume=370 features=0 standards=1
- category=ÅVC/verksamhetsavfall waste=Matavfall unit=Behållarvolym factor=ÅRKV volume=140 features=0 standards=9
- category=ÅVC/verksamhetsavfall waste=Matavfall unit=Behållarvolym factor=ÅRKV volume=190 features=0 standards=9
- category=ÅVC/verksamhetsavfall waste=Matavfall unit=Behållarvolym factor=ÅRKV volume=240 features=0 standards=9
- category=ÅVC/verksamhetsavfall waste=Matavfall unit=Behållarvolym factor=ÅRKV volume=370 features=0 standards=9
- category=ÅVC/verksamhetsavfall waste=Metall unit=Vikt factor=VIKG volume= features=1 standards=0
- category=ÅVC/verksamhetsavfall waste=Oljeavfall unit=Behållarvolym factor=VOLYM/BEHÅLLARE volume= features=2 standards=0
- category=ÅVC/verksamhetsavfall waste=Oljeavfall unit=Vikt factor=VIKG volume= features=5 standards=0
- category=ÅVC/verksamhetsavfall waste=Plast unit=Vikt factor=VIKG volume= features=1 standards=0
- category=ÅVC/verksamhetsavfall waste=Restavfall unit= factor=KVAN volume= features=0 standards=3
- category=ÅVC/verksamhetsavfall waste=Restavfall unit= factor=ÅRKV volume= features=0 standards=13
- category=ÅVC/verksamhetsavfall waste=Restavfall unit=Behållarvolym factor=KVAN volume=660 features=0 standards=1
- category=ÅVC/verksamhetsavfall waste=Restavfall unit=Behållarvolym factor=ÅRKV volume=140 features=0 standards=12
- category=ÅVC/verksamhetsavfall waste=Restavfall unit=Behållarvolym factor=ÅRKV volume=190 features=0 standards=9
- category=ÅVC/verksamhetsavfall waste=Restavfall unit=Behållarvolym factor=ÅRKV volume=240 features=0 standards=9
- category=ÅVC/verksamhetsavfall waste=Restavfall unit=Behållarvolym factor=ÅRKV volume=370 features=0 standards=9
- category=ÅVC/verksamhetsavfall waste=Restavfall unit=Behållarvolym factor=ÅRKV volume=660 features=0 standards=12
- category=ÅVC/verksamhetsavfall waste=Tegel unit=Vikt factor=VIKG volume= features=1 standards=0
- category=ÅVC/verksamhetsavfall waste=Tryckimpregnerat trä unit=Vikt factor=VIKG volume= features=1 standards=0
- category=ÅVS waste= unit= factor=KVAN volume= features=0 standards=20
- category=ÅVS waste= unit= factor=ÅRKV volume= features=0 standards=7
