PersistentTaxID;SectionBoundWordTaxID;ContentFingerprint;IdentityBasis;Occurrence;Status;Word paragraf;Word taxapunkt;Word variant;Word enhet;Kommentar
PTX-F8E03981532C-01;WTX-6-1-2-972B60B3-01;F8E03981532C0710ADD39A9C5631041BD692DBD7;|gasol inkl tub||kilogram;1;ACTIVE;6.1.2;Gasol inkl tub;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-A9F2A3794500-01;WTX-6-1-2-EDAF13D8-01;A9F2A3794500A4C0D3865BEE4F016157E403E91B;|gasol, blå programmet||kilogram;1;ACTIVE;6.1.2;Gasol, blå programmet;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-BD292A0B3CB4-01;WTX-6-1-2-CB231635-01;BD292A0B3CB48E8D64C64B04EF9ADDFD4FD7F74A;|giftig organisk vätska||kilogram;1;ACTIVE;6.1.2;Giftig organisk vätska;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-5503C7B3805C-01;WTX-6-1-2-1F7DAB03-01;5503C7B3805C0FF1A80062B1E08E1DCBADC736A4;|småkemikalier, ej hg-haltiga||kilogram;1;ACTIVE;6.1.2;Småkemikalier, ej Hg-haltiga;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-DB001739E9F5-01;WTX-6-1-2-F99E0CD6-01;DB001739E9F56CCC94B16CE971B9C7E17BED0728;|giftig oorganisk vätska||kilogram;1;ACTIVE;6.1.2;Giftig oorganisk vätska;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-5D92FC7F923A-01;WTX-6-1-2-C77D6230-01;5D92FC7F923A437AD8EB16A4A6402F1EE0643D56;|oxidationsmedel, flytande||kilogram;1;ACTIVE;6.1.2;Oxidationsmedel, flytande;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-2173BA4EBEA8-01;WTX-6-1-2-BB5B8C04-01;2173BA4EBEA81AB3002136E2A19A2532110CD64A;|asbest, emballerat||kilogram;1;ACTIVE;6.1.2;Asbest, emballerat;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-51DE2173F705-01;WTX-6-1-2-812B8F3E-01;51DE2173F7052EE07402421415F1E30C13DC087B;|smittförande avfall||kilogram;1;ACTIVE;6.1.2;Smittförande avfall;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-88C9A14A6BA8-01;WTX-6-1-2-312EF30C-01;88C9A14A6BA883F3F1D8DEF62AA6C3C3AAC355B7;|lösningsmedel||kilogram;1;ACTIVE;6.1.2;Lösningsmedel;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-01CC82079F7E-01;WTX-6-1-2-BE77983D-01;01CC82079F7EC99D0A9744041938D8C9DDBAD90E;|väteperoxid||kilogram;1;ACTIVE;6.1.2;Väteperoxid;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-C391073A57DF-01;WTX-6-1-2-3E0679B5-01;C391073A57DFD509B41FAECA263B2551C35320D3;|flourvätesyra||kilogram;1;ACTIVE;6.1.2;Flourvätesyra;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-5296C61B8FD2-01;WTX-6-1-2-213E57DC-01;5296C61B8FD2B4983EE1199504B84B6071C5237A;|svavelsyra||kilogram;1;ACTIVE;6.1.2;Svavelsyra;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-84901013307E-01;WTX-6-1-2-4E08A95E-01;84901013307EC81E364BD130C84668552F7F690F;|salpetersyra||kilogram;1;ACTIVE;6.1.2;Salpetersyra;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-D87275CC3C53-01;WTX-6-1-2-9C54DC64-01;D87275CC3C53F571C1B1A1096F4734E65B91D848;|surt oorganisk fast ämne||kilogram;1;ACTIVE;6.1.2;Surt oorganisk fast ämne;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-900F30FEFCF2-01;WTX-6-1-2-359B3510-01;900F30FEFCF21277A18DCE61B915CA150CC39A47;|surt organisk fast ämne||kilogram;1;ACTIVE;6.1.2;Surt organisk fast ämne;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-A4855A137A27-01;WTX-6-1-2-38753B31-01;A4855A137A2726A7B6D3FA172BC4E368E0405594;|surt oorganisk vätska||kilogram;1;ACTIVE;6.1.2;Surt oorganisk vätska;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-3B042F622406-01;WTX-6-1-2-9F25D585-01;3B042F622406A1E2A6EFDF9437836D5FFF10EA8D;|surt organisk vätska||kilogram;1;ACTIVE;6.1.2;Surt organisk vätska;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-356873C28A64-01;WTX-6-1-2-5415F3B6-01;356873C28A645C0EC67DFB44ED701F3E90E4B8ED;|ammoniaklösning||kilogram;1;ACTIVE;6.1.2;Ammoniaklösning;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-1C397EC562F7-01;WTX-6-1-2-D9B82314-01;1C397EC562F76382CF23377FDB62A07A4EBF5B05;|alkaliskt avfall fast||kilogram;1;ACTIVE;6.1.2;Alkaliskt avfall fast;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-D5B409880FFF-01;WTX-6-1-2-0CE1C360-01;D5B409880FFF6611FF9B850D4848566BB6F6F9EB;|basiskt organiskt fast/flytande||kilogram;1;ACTIVE;6.1.2;Basiskt organiskt fast/flytande;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-93B527871849-01;WTX-6-1-2-C7377547-01;93B52787184970D1F78DEB56EF108B83B257910E;|fotokemikalier||kilogram;1;ACTIVE;6.1.2;Fotokemikalier;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-AEDD5D0E38CD-01;WTX-6-1-2-784920E0-01;AEDD5D0E38CD6AB21A98AC459AEB8E9F373068C9;|bekämpningsmedel aerosoler||kilogram;1;ACTIVE;6.1.2;Bekämpningsmedel aerosoler;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-7A31A65D0D43-01;WTX-6-1-2-09E4B897-01;7A31A65D0D43A0936C665746D43D21921A38652F;|bekämpningsmedel fast||kilogram;1;ACTIVE;6.1.2;Bekämpningsmedel fast;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-2F2D29AAE9BA-01;WTX-6-1-2-873ED040-01;2F2D29AAE9BA511CD3DA42ACA6B84C35E4C76444;|bekämpningsmedel flytande||kilogram;1;ACTIVE;6.1.2;Bekämpningsmedel flytande;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-43DEAD25635D-01;WTX-6-1-2-FE5C5351-01;43DEAD25635DBA0D0C80F1F809BF7DACF98FADAD;|kvicksilverhaltigt avfall||kilogram;1;ACTIVE;6.1.2;Kvicksilverhaltigt avfall;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-3A631A43979C-01;WTX-6-1-2-90927C1E-01;3A631A43979C849A7D1C9C968C55F6F62F5FC4F9;|kvicksilver i föremål||kilogram;1;ACTIVE;6.1.2;Kvicksilver i föremål;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-8B4FF108FC82-01;WTX-6-1-2-9D3BD43B-01;8B4FF108FC821A92F54B591DA8E89BE8535AE51C;|oljehaltigt avfall (ej pcb)||liter;1;ACTIVE;6.1.2;Oljehaltigt avfall (ej PCB);;liter;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-F9C645D10837-01;WTX-6-1-2-102A672F-01;F9C645D1083780C0606520BDBE88BFE28663799F;|olja förorenad (ej pcb)||liter;1;ACTIVE;6.1.2;Olja förorenad (ej PCB);;liter;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-2A1938358C1E-01;WTX-6-1-2-DDF8034A-01;2A1938358C1EE73CB65C880837DF21835F33D064;|färg-, lack-, limburkar lösning||kilogram;1;ACTIVE;6.1.2;Färg-, lack-, limburkar lösning;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-FE777E8CAA52-01;WTX-6-1-2-FDF4F8F4-01;FE777E8CAA521C6751C0471D4A434363D9B206A4;|färg-, lack-, limburkar lösning aerosoler||kilogram;1;ACTIVE;6.1.2;Färg-, lack-, limburkar lösning aerosoler;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-EC3E55817CAF-01;WTX-6-1-2-59D826B9-01;EC3E55817CAF7EDAAEA5298F73315E8E59E9DA29;|isocyanater||kilogram;1;ACTIVE;6.1.2;Isocyanater;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-620749AC36D5-01;WTX-6-1-2-34CA444C-01;620749AC36D5CC68A5EAC1CEB747BD8DFBCC3F72;|härdare metyl-etylketonperoxid||kilogram;1;ACTIVE;6.1.2;Härdare metyl- etylketonperoxid;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
PTX-7884577F657C-01;WTX-6-1-2-7D8A629C-01;7884577F657CF6B14D14572E8908ABEE7D0EBE8E;|härdare dibenzoylperoxid||kilogram;1;ACTIVE;6.1.2;Härdare dibenzoylperoxid;;kilogram;Persistent ID baseras på taxepunkt, variant och enhet, inte paragraf.
