Word Tax Coverage Report

KRAV:
Alla taxor som hittas i Word måste finnas som egen rad i Taxepunkter.
Detta gäller oavsett om Taxa_från_edp är tom eller saknar matchning.

Total parser rows: 241
COVERED: 67
REVIEW: 23
MISSING: 151
Passed: False

Details:
- COVERED | section+tax_point | 2.2.7 | Kärl 140 l (kontors-/returpapper) | excel_row=101 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.2.7 | Egen överlämning av förbrukat kontors-/returpapper enligt anvisning | excel_row=102 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.2.7 | Egen överlämning av förbrukat matfett enligt anvisning | excel_row=103 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- MISSING | no Taxepunkter row | 2.3 | Viktavgift matavfall | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.3 | Viktavgift restavfall | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.3 | Lyftavgift kärl | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.4.1 | Fakturavgift | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.4.2 | Delat kärl 240 l matavfall 40 kg | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.4.2 | Delat kärl 240 l restavfall 40 kg | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.4.2 | Extra kärl 140 l matavfall 60 kg | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.4.2 | Extra kärl 140-190 l restavfall 60 kg | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.4.2 | Kärl 370 l restavfall 60 kg | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.4.2 | Kärl 660 l restavfall 100 kg | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- COVERED | section+tax_point | 2.4.3 | Överfullt kärl | excel_row=121 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.3 | Överfull bottentömmande behållare | excel_row=122 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.4 | Byte av trasigt kärl vid oaktsamhet | excel_row=124 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- MISSING | no Taxepunkter row | 2.4.5 | Byte/återtag av kärl en (1) ggr/år 140–240 liter | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.4.5 | Byte/återtag av kärl en (1) ggr/år 370–660 liter | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- COVERED | section+tax_point | 2.4.5 | Ytterligare byte av kärl under kalenderåret | excel_row=129 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.6 | Kärl | excel_row=131 tax_code=FELSORT | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.6 | Bottentömmande behållare | excel_row=132 tax_code=FELSORT | Variant/enhet skiljer men Word-taxan finns som egen rad
- MISSING | no Taxepunkter row | 2.4.7 | Kärl 140-660 L 1,5-10 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.4.7 | Kärl 140-660 L 10-20 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.4.7 | Kärl 140-660 L 20-30 | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- MISSING | no Taxepunkter row | 2.4.7 | Avfallsport/dörr | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- COVERED | section+tax_point | 2.4.7 | Låst dörr, med kod | excel_row=138 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.8 | Kärl 140 l matavfall | excel_row=140 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.8 | Kärl 190 l restavfall | excel_row=141 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.8 | Kärl 370 l restavfall | excel_row=142 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.8 | Kärl 660 l restavfall | excel_row=143 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- MISSING | no Taxepunkter row | 2.4.8 | Bottentömmande behållare | excel_row= tax_code= | Word-taxan måste skapas som egen rad i Taxepunkter, oavsett EDP
- COVERED | section+tax_point | 2.4.9 | Sidlastande fordon | excel_row=146 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.9 | Bottentömmande fordon | excel_row=147 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.9 | Tömningsavgift per behållare | excel_row=148 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.10 | Betalsäck | excel_row=150 tax_code=BETALSÄCK | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.10 | Akutsäck | excel_row=151 tax_code=AKUTSÄCK | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.11 | Matavfallspåsar 9 L | excel_row=153 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.11 | Matavfallspåsar 22 L | excel_row=154 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.11 | Gravitationslås till kärl | excel_row=155 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.4.11 | Extra nyckel till gravitationslås | excel_row=156 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.5.1 | Kommunalt avfall | excel_row=159 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
- COVERED | section+tax_point | 2.5.1 | Farligt avfall (ej uppmärkt) | excel_row=160 tax_code= | Variant/enhet skiljer men Word-taxan finns som egen rad
