Taxepunkter Row Build Plan

KRAV:
Alla taxor som hittas i Word/parsern ska finnas som egen rad i Taxepunkter.
EDP-data kompletterar endast raden efteråt.

Parser rows: 241
REUSE: 78
CREATE: 136
REVIEW: 27
Coverage plan valid: True

Details:
- REVIEW | multiple section+tax_point rows | 2.2.6 | Kärl 140 l (matavfall) | excel_row=98 tax_code= | 3 befintliga rader delar paragraf+taxapunkt
- REUSE | section+tax_point | 2.2.6 | Bottentömmande behållare (mat-/restavfall) | excel_row=103 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.2.6 | Lastväxlarflak (restavfall) | excel_row=102 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.2.7 | Kärl 140 l (kontors-/returpapper) | excel_row=106 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 2.2.7 | Egen överlämning av förbrukat kontors-/returpapper enligt anvisning | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 2.2.7 | Egen överlämning av förbrukat matfett enligt anvisning | excel_row=108 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.3 | Viktavgift matavfall | excel_row=111 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.3 | Viktavgift restavfall | excel_row=112 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 2.3 | Lyftavgift kärl | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.1 | Fakturavgift | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.2 | Delat kärl 240 l matavfall 40 kg | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.2 | Delat kärl 240 l restavfall 40 kg | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.2 | Extra kärl 140 l matavfall 60 kg | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.2 | Extra kärl 140-190 l restavfall 60 kg | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.2 | Kärl 370 l restavfall 60 kg | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.2 | Kärl 660 l restavfall 100 kg | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 2.4.3 | Överfullt kärl | excel_row=127 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.4.3 | Överfull bottentömmande behållare | excel_row=128 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.4.4 | Byte av trasigt kärl vid oaktsamhet | excel_row=131 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 2.4.5 | Byte/återtag av kärl en (1) ggr/år 140–240 liter | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.5 | Byte/återtag av kärl en (1) ggr/år 370–660 liter | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 2.4.5 | Ytterligare byte av kärl under kalenderåret | excel_row=136 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.4.6 | Kärl | excel_row=139 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.4.6 | Bottentömmande behållare | excel_row=140 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 2.4.7 | Kärl 140-660 L 1,5-10 | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.7 | Kärl 140-660 L 10-20 | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.7 | Kärl 140-660 L 20-30 | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- CREATE | word tax missing from Taxepunkter | 2.4.7 | Avfallsport/dörr | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 2.4.7 | Låst dörr, med kod | excel_row=147 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.4.8 | Kärl 140 l matavfall | excel_row=150 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- CREATE | word tax missing from Taxepunkter | 2.4.8 | Kärl 190 l restavfall | excel_row= tax_code= | Skapa egen rad i Taxepunkter oavsett EDP-status
- REUSE | section+tax_point | 2.4.8 | Kärl 370 l restavfall | excel_row=152 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
- REUSE | section+tax_point | 2.4.8 | Kärl 660 l restavfall | excel_row=153 tax_code= | Word-taxan finns som egen rad; variant/enhet kan kompletteras från Word
