Word Excel Mapping Report

Syfte:
Skapar spårbar mappning mellan varje Word/parser-taxa och motsvarande rad i Taxepunkter.
Block50: varje rad får både sectionsbundet WordTaxID och sectionsoberoende StableTaxIdentity.

Regler:
- Word-master ändras aldrig.
- Excel-master ändras aldrig.
- Taxepunkter A:E ändras aldrig automatiskt.
- Taxa_från_edp ändras aldrig.
- Samma EDP-taxa kan användas av flera Word-rader utan att det automatiskt är fel.
- StableTaxIdentity används för att känna igen samma taxepunkt även om den flyttas mellan paragrafer.

Total Word rows: 241
MAPPED: 67
REVIEW: 23
MISSING: 151
Passed: False

Details:
- WTX-2-2-4-CE349D63-01 | WTX-STABLE-88864524DF | REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 370 l (restavfall) | excel_row=41 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-88864524DF förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-4-A7811053-01 | WTX-STABLE-6EE40AD1D2 | REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 660 l (restavfall) | excel_row=44 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-6EE40AD1D2 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-4-46A41188-01 | WTX-STABLE-F8A66F62BD | REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 140 l (matavfall) | excel_row=47 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-F8A66F62BD förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-4-BF4F56C7-01 | WTX-STABLE-3B27E4E1EE | REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 190 l (förpackningar) | excel_row=50 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
- WTX-2-2-4-13866FDD-01 | WTX-STABLE-3D7A8F5264 | REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 370 l (förpackningar) | excel_row=53 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
- WTX-2-2-4-21AC3B1E-01 | WTX-STABLE-86ADB6A95E | REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 660 l (förpackningar) | excel_row=56 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
- WTX-2-2-4-AB72D7D0-01 | WTX-STABLE-641342D3A0 | REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 190 l (tidningar och returpapper) | excel_row=59 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
- WTX-2-2-4-003F45C0-01 | WTX-STABLE-3A5AA27AEF | REVIEW | multiple section+tax_point rows | 2.2.4 | Kärl 370 l (tidningar och returpapper) | excel_row=62 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel.
- WTX-2-2-4-F2A2FB32-01 | WTX-STABLE-11F9AF878D | MISSING | no Taxepunkter row | 2.2.4 | (mat-/restavfall, förpackningar) | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-2-5-C95D88A8-01 | WTX-STABLE-B33A92C2C3 | REVIEW | multiple section+tax_point rows | 2.2.5 | Kärl 240 l (mat-/restavfall) | excel_row=69 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-B33A92C2C3 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-5-324DC995-01 | WTX-STABLE-88864524DF | REVIEW | multiple section+tax_point rows | 2.2.5 | Kärl 370 l (restavfall) | excel_row=72 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-88864524DF förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-5-8A3F7EE4-01 | WTX-STABLE-6EE40AD1D2 | REVIEW | multiple section+tax_point rows | 2.2.5 | Kärl 660 l (restavfall) | excel_row=75 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-6EE40AD1D2 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-5-6EFC63C2-01 | WTX-STABLE-F8A66F62BD | REVIEW | multiple section+tax_point rows | 2.2.5 | Kärl 140 l (matavfall) | excel_row=78 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-F8A66F62BD förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-5-B3EF08A2-01 | WTX-STABLE-CDCC7E1A23 | REVIEW | multiple section+tax_point rows | 2.2.5 | Bottentömmande behållare (mat-/restavfall) | excel_row=81 tax_code= | 2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-CDCC7E1A23 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-5-CE394662-01 | WTX-STABLE-8A6E913D1F | MAPPED | section+tax_point | 2.2.5 | Lastväxlarflak (restavfall) | excel_row=82 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer. Stabil identitet WTX-STABLE-8A6E913D1F förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-6-E4B45E25-01 | WTX-STABLE-B33A92C2C3 | REVIEW | multiple section+tax_point rows | 2.2.6 | Kärl 240 l (mat-/restavfall) | excel_row=85 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-B33A92C2C3 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-6-5BD56AE6-01 | WTX-STABLE-88864524DF | REVIEW | multiple section+tax_point rows | 2.2.6 | Kärl 370 l (restavfall) | excel_row=88 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-88864524DF förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-6-6674120A-01 | WTX-STABLE-6EE40AD1D2 | REVIEW | multiple section+tax_point rows | 2.2.6 | Kärl 660 l (restavfall) | excel_row=91 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-6EE40AD1D2 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-6-52C538D2-01 | WTX-STABLE-F8A66F62BD | REVIEW | multiple section+tax_point rows | 2.2.6 | Kärl 140 l (matavfall) | excel_row=94 tax_code= | 3 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-F8A66F62BD förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-6-D9CB98E7-01 | WTX-STABLE-CDCC7E1A23 | REVIEW | multiple section+tax_point rows | 2.2.6 | Bottentömmande behållare (mat-/restavfall) | excel_row=97 tax_code= | 2 Excel-rader delar paragraf och taxepunkt. Kräver granskning men är inte automatiskt fel. Stabil identitet WTX-STABLE-CDCC7E1A23 förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-6-0AD0B832-01 | WTX-STABLE-8A6E913D1F | MAPPED | section+tax_point | 2.2.6 | Lastväxlarflak (restavfall) | excel_row=98 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer. Stabil identitet WTX-STABLE-8A6E913D1F förekommer i flera paragrafer. Det kan betyda flyttad/återanvänd taxepunkt och är granskningsinformation, inte automatiskt fel.
- WTX-2-2-7-A3CC7E20-01 | WTX-STABLE-1EF6AACE05 | MAPPED | section+tax_point | 2.2.7 | Kärl 140 l (kontors-/returpapper) | excel_row=101 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-2-7-EDD305D3-01 | WTX-STABLE-04D896BAC8 | MAPPED | section+tax_point | 2.2.7 | Egen överlämning av förbrukat kontors-/returpapper enligt anvisning | excel_row=102 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-2-7-3D0F5E75-01 | WTX-STABLE-36142B6B45 | MAPPED | section+tax_point | 2.2.7 | Egen överlämning av förbrukat matfett enligt anvisning | excel_row=103 tax_code= | Word-raden finns i Taxepunkter men variant eller enhet skiljer.
- WTX-2-3-EC152D91-01 | WTX-STABLE-7604EA3E41 | MISSING | no Taxepunkter row | 2.3 | Viktavgift matavfall | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-3-B2A59341-01 | WTX-STABLE-5D51DFCA46 | MISSING | no Taxepunkter row | 2.3 | Viktavgift restavfall | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
- WTX-2-3-860FD1D7-01 | WTX-STABLE-0D96EC5B37 | MISSING | no Taxepunkter row | 2.3 | Lyftavgift kärl | excel_row= tax_code= | Word-raden saknar motsvarande rad i Taxepunkter.
