Kategori;Avfallstyp;Enhetstyp;Faktorhint;Behållarvolym liter;Word feature count;Standard row count;Exempel Word-taxor;Exempel standardtaxor
Slam;Slam;;ÅRKV;;0;40;;FASTSL Fast grundavgift, slam | FASTFE Fast grundavgift, fett | BRN03SLORD Brunn 0-3 m³, Slam. Ordinarie tur | BRN36SLORD Brunn 3,1-6 m³, slam. Ordinarie tur | BRNÖ6SLORD Brunn över 6 m³, slam. Ordinarie tur
Tilläggstjänst;;;;;3;0;4.2 Krav på information om hämtningstid | 4.2 Krav på närvaro vid specificerad hämtningstid | 4.2 Hantering av kod för kodlås;
Tilläggstjänst;;Vikt;VIKG;;2;0;4.1 Filtermassor upp till 500 kg | 4.1 Filtermassor 500-1000 kg;
Verksamhetsavfall;;;;;7;0;6.1.1 Verksamheter | 6.1.1 Övriga abonnemangstyper | 6.1.1 Vågkort | 6.1.1 Borttappat vågkort | 6.1.1 Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst);
Verksamhetsavfall;;Tillfälle;TILLFÄLLE;;2;0;6.1.4 Administrativ rapporteringsavgift till Avfallsregistret | 6.1.4 Ombud för registrering av El-kretsen avlämnarintyg i Hämtplatsportalen;
Verksamhetsavfall;;Volym;VOLM;;3;0;6.1.3 Container X m3 | 6.1.3 Container X m3 | 6.1.3 Container X m3;
Verksamhetsavfall;Farligt avfall;;;;1;0;6.1.4 Okänt farligt avfall (säkerhetsdatablad saknas);
Verksamhetsavfall;Farligt avfall;Tillfälle;TILLFÄLLE;;1;0;6.1.4 Ombud för rapportering av farligt avfall i Avfallsregistret;
ÅVC/verksamhetsavfall;;;;;4;0;6.1.2 Fönster med karm | 6.1.2 Jord | 6.1.2 Sten | 6.1.2 Stubbar/rötter för krossning;
ÅVC/verksamhetsavfall;;;KVAN;;0;34;;GROVBUD Hämtning grovavfall, budning | LÖSTKBMBUD Hämtning löst avfall, per kbm. Budning | BUDNING Budningsavgift | KÄLABUD Kärl, latrin. Budning | KÄLAEXTORD Kärl, latrin. Extrakärl, ordinarie hämtning
ÅVC/verksamhetsavfall;;;ÅRKV ELLER KVAN;;0;1;;KÄRLTVÄTT Kärltvätt, pris per kärl
ÅVC/verksamhetsavfall;;;ÅRKV;;0;52;;FASTSMÅ Fast grundavgift, småhus | FASTFLB Fast grundavgift,  flerbostadshus per bostadsenhet | FASTFRI Fast grundavgift, fritidshus | FASTVHT Fast grundavgift, verksamheter | MB1300OS104 Markbehållare 1,3 m³, osorterat avfall. 2ggr/ vecka
ÅVC/verksamhetsavfall;;Behållarvolym;KVAN;;0;1;;FKOMPPÅSE9 Försäljning kompostpåsar, 9 L
ÅVC/verksamhetsavfall;;Behållarvolym;KVAN;125;0;1;;FPASÄCK125 Försäljning pappersäck, 125 L
ÅVC/verksamhetsavfall;;Behållarvolym;KVAN;160;0;1;;FPASÄCK160 Försäljning pappersäck, 160 L
ÅVC/verksamhetsavfall;;Behållarvolym;KVAN;190;0;5;;KÄ190WEBUD Kärl 190 L, wellpapp. Budning | KÄ190TIBUD Kärl 190 L, tidningar. Budning | KÄ190PABUD Kärl 190 L, pappersförpackningar. Budning | KÄ190MEBUD Kärl 190 L, metallförpackningar. Budning | KÄ190PLBUD Kärl 190 L, plastförpackningar. Budning
ÅVC/verksamhetsavfall;;Behållarvolym;KVAN;22;0;2;;FKOMPKASSE22 Försäljning kompostkassar, 22 L | FKOMPSTÄLL22 Försäljning ställning för 22 L kompostkasse
ÅVC/verksamhetsavfall;;Behållarvolym;KVAN;240;0;2;;FPASÄCK240 Försäljning pappersäck, 240 L | FPLSÄCK240 Försäljning plastsäck, 240 L
ÅVC/verksamhetsavfall;;Behållarvolym;KVAN;350;0;2;;FPASÄCK350 Försäljning pappersäck, 350 L | FPLSÄCK350 Försäljning plastsäck, 350 L
ÅVC/verksamhetsavfall;;Behållarvolym;KVAN;370;0;5;;KÄ370WEBUD Kärl 370 L, wellpapp. Budning | KÄ370TIBUD Kärl 370 L, tidningar. Budning | KÄ370PABUD Kärl 370 L, pappersförpackningar. Budning | KÄ370MEBUD Kärl 370 L, metallförpackningar. Budning | KÄ370PLBUD Kärl 370 L, plastförpackningar. Budning
ÅVC/verksamhetsavfall;;Behållarvolym;KVAN;45;0;3;;FKOMPPSÄCK45 Försäljning kompostsäckar, 45 L | FKOMPSTÄLL45 Försäljning ställning för 45 L kompostsäck, enkelställ på hjul | FKOMPSTÄLL45D Försäljning ställning för 45 L kompostsäck, dubbelställ på hjul
ÅVC/verksamhetsavfall;;Behållarvolym;KVAN;660;0;6;;KÄOSBUD Kärl 140-660 L, osort. avfall. Budning | KÄ660WEBUD Kärl 660 L, wellpapp. Budning | KÄ660TIBUD Kärl 660 L, tidningar. Budning | KÄ660PABUD Kärl 660 L, pappersförpackningar. Budning | KÄ660MEBUD Kärl 660 L, metallförpackningar. Budning
