Status;Metod;Score;Parser paragraf;Parser taxapunkt;Parser variant;Parser enhet;Excel rad;Excel taxapunkt;Excel variant;Excel enhet;Excel taxakod;Kommentar
NEW;no match;0.000;3.3;Tömning av toalettvagnar eller liknande /styck;;styck;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;3.4;Latrinbehållare 37 liter inkl. mottagning och behandling;;liter;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;4.1;Filtermassor upp till 500 kg;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;4.1;Filtermassor 500-1000 kg;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;4.2;Krav på information om hämtningstid;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;4.2;Krav på närvaro vid specificerad hämtningstid;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;4.2;Hantering av kod för kodlås;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.1;Upp till 3 m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.1;Mellan 3 m3 och 6 m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.1;Över 6 m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.2;Dragning av extra slang vid 5-25 m;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.2;Dragning av extra slang vid 25-35 m;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.2;Dragning av extra slang vid 36-45 m;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.2;Dragning av extra slang vid 46-55 m;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.2;Hantering av brunnslock som väger 15-25 kg;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.2;Krav på information om tömningstid;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.2;Krav på närvaro vid specificerad tömningstid;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.2;Hantering av kod för kodlås vid tömning;;tömning;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.2;Hetvattentvätt med spolbil, timersättning;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.2;Silikontätning per lock;;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.2;Tömning av extra tank i samband med ordinarie/budad tömning upp till 5 m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.3;Budning inom ordinarie tömningsperiod (1 maj- 31 oktober);;;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;5.3;Budning utanför ordinarie tömningsperiod;;;;;;;;Ny rad behövs i Arbets-Excel
PROBABLE;section+tax_point;0.900;6.1.1;Verksamheter;;;246;Verksamheter;;kr/besök;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.1;Övriga abonnemangstyper;;;247;Övriga abonnemangstyper;;kr/besök;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.1;Vågkort;;;248;Vågkort;;kr/besök;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.1;Borttappat vågkort;;;249;Borttappat vågkort;;kr/besök;;Variant/enhet skiljer eller saknas
NEW;no match;0.000;6.1.1;Ej redovisad ankomst till ÅVC (för företagare och privatpersoner som lämnar verksamhetsavfall utan att anmäla sin ankomst);;besök;;;;;;Ny rad behövs i Arbets-Excel
PROBABLE;section+tax_point;0.900;6.1.1;Ej redovisad eller fel redovisad fraktion av avfall;;fraktion;251;Ej redovisad eller fel redovisad fraktion av avfall;;kr/fraktion;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.2;Avfall till energiåtervinning (240 L sopsäck);;styck;253;Avfall till energiåtervinning (240 L sopsäck);200301;kr/st;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.2;Avfall till energiåtervinning;;kilogram;254;Avfall till energiåtervinning;200301;kr/kg;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.2;Skrymmande avfall till energiåtervinning större än 20×20×80;;kilogram;255;Skrymmande avfall till energiåtervinning större än 20x20x80;200307;kr/kg;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.2;Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp;;kilogram;256;Träavfall – obehandlat, utan tapet, plastmatta, tjärpapp;170201;kr/kg;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.2;Träavfall – behandlat, utan tapet, plastmatta, tjärpapp;;kilogram;257;Träavfall – behandlat, utan tapet, plastmatta, tjärpapp;170201;kr/kg;;Variant/enhet skiljer eller saknas
NEW;no match;0.000;6.1.2;Tryckimpregnerat virke, pall;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
PROBABLE;section+tax_point;0.900;6.1.2;Betong, lättbetong;;kilogram;259;Betong, lättbetong;170101;kr/kg;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.2;Gips, gipsskivor;;kilogram;260;Gips, gipsskivor;170802;kr/kg;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.2;Tegel;;kilogram;261;Tegel;170102;kr/kg;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.2;Fönster- och planglas utan karm;;kilogram;262;Fönster- och planglas utan karm;170202;kr/kg;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.2;Fönster med karm;;;263;Fönster med karm;;kr/kg;;Variant/enhet skiljer eller saknas
PROBABLE;section+tax_point;0.900;6.1.2;Plast;;kilogram;264;Plast;;kr/kg;;Variant/enhet skiljer eller saknas
