Status;Metod;Score;Parser paragraf;Parser taxapunkt;Parser variant;Parser enhet;Excel rad;Excel taxapunkt;Excel variant;Excel enhet;Excel taxakod;Kommentar
NEW;no match;0.000;6.1.2;Surt organisk fast ämne;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Surt oorganisk vätska;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Surt organisk vätska;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Ammoniaklösning;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Alkaliskt avfall fast;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Basiskt organiskt fast/flytande;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Fotokemikalier;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Bekämpningsmedel aerosoler;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Bekämpningsmedel fast;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Bekämpningsmedel flytande;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Kvicksilverhaltigt avfall;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Kvicksilver i föremål;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Oljehaltigt avfall (ej PCB);;liter;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Olja förorenad (ej PCB);;liter;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Färg-, lack-, limburkar lösning;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Färg-, lack-, limburkar lösning aerosoler;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Isocyanater;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Härdare metyl- etylketonperoxid;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Härdare dibenzoylperoxid;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Färg-,lack-, limburkar vattenbaserade;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Tensida alkaliska flytande avfall;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Rengöring/vaskmedel fast;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Alkaliska flytande avfall;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Cytotoxiska läkemedel, cytostat;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Rökdetektor med andra isotoper;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Rökdetektor med Am 241;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Batterier stav, pencell;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Batterier lithium;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Bil-, mcbatteri med bly;;styck;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Glödlampor;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Lysrör;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Elavfall, små elektronik;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;El-avfall fast installation;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;El-avfall kabel;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Toner, färgpatron med elektronik;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Tv, radio, skärm, skrivare utan färgpatron;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Kyl-, frysskåp, -box;;styck;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Kyl-, frysskåp, -box från verksamhet;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Spis, tvätt-, diskmaskin;;styck;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.2;Spis, tvätt-, diskmaskin från verksamhet;;kilogram;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.3;Container X m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.3;Container X m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.3;Container X m3;;m³;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.3;Omklassning av felsorterad container;;container;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.4;Okänt farligt avfall (säkerhetsdatablad saknas);;fraktion;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.4;Ombud för rapportering av farligt avfall i Avfallsregistret;;tillfälle;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.4;Administrativ rapporteringsavgift till Avfallsregistret;;tillfälle;;;;;;Ny rad behövs i Arbets-Excel
NEW;no match;0.000;6.1.4;Ombud för registrering av El-kretsen avlämnarintyg i Hämtplatsportalen;;tillfälle;;;;;;Ny rad behövs i Arbets-Excel
