Parser 3.0 precision report

Matched: 0
Missing: 0
Extra: 274
Passed: False

EXTRA
- 2.1 | en- och tvåbostadshus |  |  | Extra parser row
- 2.2.6 | kärl 140 l (matavfall) |  | kärl | Extra parser row
- 2.2.6 | bottentömmande behållare (mat-/restavfall) |  |  | Extra parser row
- 2.2.6 | lastväxlarflak (restavfall) |  |  | Extra parser row
- 2.2.7 | kärl 140 l (kontors-/returpapper) |  | kärl | Extra parser row
- 2.2.7 | egen överlämning av förbrukat kontors-/returpapper enligt anvisning |  |  | Extra parser row
- 2.2.7 | egen överlämning av förbrukat matfett enligt anvisning |  |  | Extra parser row
- 2.3 | viktavgift matavfall |  |  | Extra parser row
- 2.3 | viktavgift restavfall |  |  | Extra parser row
- 2.3 | lyftavgift kärl |  | kärl | Extra parser row
- 2.4.1 | fakturavgift |  |  | Extra parser row
- 2.4.2 | delat kärl 240 l matavfall 40 kg |  | kilogram | Extra parser row
- 2.4.2 | delat kärl 240 l restavfall 40 kg |  | kilogram | Extra parser row
- 2.4.2 | extra kärl 140 l matavfall 60 kg |  | kilogram | Extra parser row
- 2.4.2 | extra kärl 140-190 l restavfall 60 kg |  | kilogram | Extra parser row
- 2.4.2 | kärl 370 l restavfall 60 kg |  | kilogram | Extra parser row
- 2.4.2 | kärl 660 l restavfall 100 kg |  | kilogram | Extra parser row
- 2.4.3 | överfullt kärl |  | kärl | Extra parser row
- 2.4.3 | överfull bottentömmande behållare |  |  | Extra parser row
- 2.4.4 | byte av trasigt kärl vid oaktsamhet |  | kärl | Extra parser row
- 2.4.5 | byte/återtag av kärl en (1) ggr/år 140–240 liter |  | liter | Extra parser row
- 2.4.5 | byte/återtag av kärl en (1) ggr/år 370–660 liter |  | liter | Extra parser row
- 2.4.5 | ytterligare byte av kärl under kalenderåret |  | kärl | Extra parser row
- 2.4.6 | kärl |  | kärl | Extra parser row
- 2.4.6 | bottentömmande behållare |  |  | Extra parser row
- 2.4.7 | kärl 140-660 l 1,5-10 |  | kärl | Extra parser row
- 2.4.7 | kärl 140-660 l 10-20 |  | kärl | Extra parser row
- 2.4.7 | kärl 140-660 l 20-30 |  | kärl | Extra parser row
- 2.4.7 | avfallsport/dörr |  |  | Extra parser row
- 2.4.7 | låst dörr, med kod |  |  | Extra parser row
- 2.4.8 | kärl 140 l matavfall |  | kärl | Extra parser row
- 2.4.8 | kärl 190 l restavfall |  | kärl | Extra parser row
- 2.4.8 | kärl 370 l restavfall |  | kärl | Extra parser row
- 2.4.8 | kärl 660 l restavfall |  | kärl | Extra parser row
- 2.4.8 | bottentömmande behållare |  |  | Extra parser row
- 2.4.9 | sidlastande fordon |  |  | Extra parser row
- 2.4.9 | bottentömmande fordon |  |  | Extra parser row
- 2.4.9 | tömningsavgift per behållare |  |  | Extra parser row
- 2.4.10 | betalsäck |  |  | Extra parser row
- 2.4.10 | akutsäck |  |  | Extra parser row
- 2.4.11 | matavfallspåsar 9 l |  |  | Extra parser row
- 2.4.11 | matavfallspåsar 22 l |  |  | Extra parser row
- 2.4.11 | gravitationslås till kärl |  | kärl | Extra parser row
- 2.4.11 | extra nyckel till gravitationslås |  |  | Extra parser row
- 2.5.1 | kommunalt avfall |  |  | Extra parser row
- 2.5.1 | farligt avfall (ej uppmärkt) |  |  | Extra parser row
- 2.5.1 | farligt avfall (uppmärkt) |  |  | Extra parser row
- 2.5.1 | avisering av ankomst |  |  | Extra parser row
- 3.1 | upp till 3 m3 |  | m³ | Extra parser row
- 3.1 | mellan 3 m3 och 6 m3 |  | m³ | Extra parser row
- 3.1 | mellan 6 m3 och 9 m3 |  | m³ | Extra parser row
- 3.1 | tillägg per m3 över 9 m3 |  | m³ | Extra parser row
- 3.1 | bad-, disk- och tvättbrunn upp till 3 m3 |  | m³ | Extra parser row
- 3.1 | tillägg per m3 över 3 m3 |  | m³ | Extra parser row
- 3.2 | dragning av extra slang vid 5-25 m |  |  | Extra parser row
- 3.2 | dragning av extra slang vid 25-35 m |  |  | Extra parser row
- 3.2 | dragning av extra slang vid 36-45 m |  |  | Extra parser row
- 3.2 | dragning av extra slang vid 46-55 m |  |  | Extra parser row
- 3.2 | hantering av brunnslock som väger 15-25 kg |  | kilogram | Extra parser row
- 3.2 | krav på information om tömningstid |  |  | Extra parser row
- 3.2 | krav på närvaro vid specificerad tömningstid |  |  | Extra parser row
- 3.2 | hantering av kod för kodlås vid slamtömning |  |  | Extra parser row
- 3.2 | hetvattentvätt med spolbil, timersättning |  |  | Extra parser row
- 3.2 | tömning av extra tank/brunn i samband med ordinarie/budad tömning upp till 5 m3 |  | m³ | Extra parser row
